,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
12,48,2018-03-07,Running,False,San Antonio Running,5.94,645,00:45:17,155,177,3.5,170,182,7:38,6:05,279,246,1.22,7.9,9.8,262,48.8% L / 51.2% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:17,0:00,51.8,0:00,No,00:00.00,6,0.0,9,garmin,0,0 days 00:07:38,0 days 00:07:38,46.96969696969697,0.950920245398773,11.528384279475981,7.860262008733624,11.528840418814774,12.123877343656828
13,54,2018-03-10,Running,False,San Antonio Running,3.6,496,00:31:20,164,178,3.4,165,207,8:42,7:02,135,112,1.03,10.5,10.8,271,49.4% L / 50.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:20,0:00,86.0,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:08:42,0 days 00:08:42,37.5,1.0061349693251533,10.114942528735632,6.8965517241379315,10.115197635889578,10.053519601524398
14,59,2018-03-16,Running,False,San Antonio Running,2.01,231,00:14:57,166,176,2.7,172,179,7:27,6:48,79,69,1.2,8.4,10.2,256,49.3% L / 50.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14:57,0:00,80.6,0:00,No,00:00.00,3,0.0,9,garmin,0,0 days 00:07:27,0 days 00:07:27,39.30348258706468,1.01840490797546,11.812080536912749,8.053691275167784,11.812407790646592,11.59893054141804
15,60,2018-03-18,Running,False,Norfolk Running,3.88,415,00:28:10,161,181,3.2,171,182,7:16,6:08,85,62,1.3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:10,0:00,53.6,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:07:16,0 days 00:07:16,21.90721649484536,0.9877300613496932,12.110091743119265,8.256880733944953,12.11019598017208,12.260633197317075
16,63,2018-03-24,Running,False,Brazos County Running,1.16,130,00:08:53.1,160,174,2.1,167,182,7:39,6:21,36,23,1.22,8.2,10.2,266,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,8:53.1,0:00,73.4,0:00,No,00:00.00,2,0.0,9,garmin,1,0 days 00:07:39,0 days 00:07:39,31.03448275862069,0.9815950920245399,11.503267973856207,7.8431372549019605,11.503466678798118,11.719156679025582
17,72,2018-03-30,Running,False,San Antonio Running,3.36,369,00:24:45,165,175,3.2,175,185,7:22,6:02,190,164,1.21,7.8,9.6,251,49.3% L / 50.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,24:45,0:00,68.0,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:07:22,0 days 00:07:22,56.54761904761905,1.0122699386503067,11.945701357466064,8.144796380090499,11.94638641966904,11.801581735794263
18,76,2018-04-03,Running,False,San Antonio Running,1.19,130,00:08:45.9,163,179,2.3,172,180,7:21,7:05,43,43,1.21,8.5,10.3,252,47.5% L / 52.5% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,8:45.9,0:00,78.8,0:00,No,00:00.00,2,0.0,9,garmin,0,0 days 00:07:21,0 days 00:07:21,36.134453781512605,1.0,11.972789115646258,8.16326530612245,11.973069488134357,11.973069488134357
19,77,2018-04-04,Running,False,San Antonio Running,4.07,408,00:29:43,157,177,3.2,172,182,7:18,6:04,203,157,1.25,7.6,9.6,255,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:43,0:00,57.2,0:00,No,00:00.00,5,0.0,9,garmin,0,0 days 00:07:18,0 days 00:07:18,49.877149877149876,0.9631901840490797,12.054794520547945,8.219178082191782,12.055332363572404,12.516045702307656
20,79,2018-04-06,Running,False,San Antonio Running,3.33,361,00:27:24,143,165,2.7,168,175,8:13,6:59,331,177,1.1,9.1,10.2,264,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:24,0:00,71.6,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:08:13,0 days 00:08:13,99.3993993993994,0.8773006134969326,10.709939148073023,7.302231237322515,10.711836807224383,12.20999580124178
21,86,2018-04-15,Running,False,San Antonio Running,7.74,"1,008",01:04:33,166,177,4.4,168,177,8:20,6:41,164,144,1.09,9.0,10.0,267,49.6% L / 50.4% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:04:33,0:00,75.2,0:00,No,00:00.00,8,0.0,9,garmin,0,0 days 00:08:20,0 days 00:08:20,21.188630490956072,1.01840490797546,10.559999999999999,7.199999999999999,10.560085029593667,10.369240119420288
22,90,2018-04-18,Running,False,San Antonio Running,3.21,427,00:29:05,155,165,3.1,164,202,9:03,7:02,89,89,1.02,10.5,10.7,272,50.0% L / 50.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:05,0:00,80.6,0:00,No,00:00.00,4,0.0,9,garmin,0,0 days 00:09:03,0 days 00:09:03,27.725856697819314,0.950920245398773,9.723756906077346,6.6298342541436455,9.723890967309572,10.225769210783614
23,92,2018-04-20,Running,False,San Antonio Running,1.33,94,00:10:30,142,166,1.8,175,187,7:53,7:07,66,43,1.14,8.4,9.9,250,49.8% L / 50.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10:30,0:00,68.0,0:00,No,00:00.00,2,0.0,9,garmin,0,0 days 00:07:53,0 days 00:07:53,49.62406015037594,0.8711656441717791,11.162790697674417,7.6109936575052854,11.163283701103515,12.814191854083612
24,93,2018-04-21,Running,False,Travis County Running,0.95,107,00:07:19.3,159,167,2.0,167,176,7:44,6:05,43,33,1.24,8.4,10.4,264,49.0% L / 51.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,7:19.3,0:00,66.2,0:00,No,00:00.00,1,0.0,9,garmin,1,0 days 00:07:44,0 days 00:07:44,45.26315789473684,0.9754601226993865,11.379310344827585,7.758620689655173,11.379728463750613,11.6660109408261
