date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-10-23,Running,False,Longview Running,7.18,993,01:10:07,150,172,149,156,0 days 00:09:46,0 days 00:08:26,161,243,1.11,0.0,0.0,0.0,0.0,0.0,1:10:07,0:00,0.0,0:00,No,01:46.36,8,0.0,5,garmin,0
2019-10-26,Running,False,Falmouth Running,13.14,"1,922",01:51:45,175,190,149,214,0 days 00:08:30,0 days 00:06:30,220,331,1.27,0.0,0.0,0.0,0.0,0.0,1:51:45,0:00,0.0,0:00,No,01:07.58,14,0.0,5,garmin,1
2019-10-30,Running,False,Longview Running,9.50,"1,490",01:27:17,174,196,148,158,0 days 00:09:11,0 days 00:07:10,427,505,1.19,0.0,0.0,0.0,0.0,0.0,1:27:17,0:00,0.0,0:00,No,05:30.28,10,0.0,5,garmin,0
2019-10-31,Running,False,Longview Running,5.23,728,00:48:21,159,181,153,158,0 days 00:09:15,0 days 00:08:38,144,259,1.14,0.0,0.0,0.0,0.0,0.0,48:21,0:00,0.0,0:00,No,02:02.63,6,0.0,5,garmin,0
2019-11-02,Running,False,Longview Running,12.23,"1,759",02:02:44,162,177,145,164,0 days 00:10:02,0 days 00:07:54,489,564,1.11,0.0,0.0,0.0,0.0,0.0,2:02:44,0:00,0.0,0:00,No,09:14.92,11,0.0,5,garmin,0
2019-11-03,Running,False,Longview Running,3.00,215,00:24:21,170,184,154,160,0 days 00:08:07,0 days 00:07:40,23,102,1.29,0.0,0.0,0.0,0.0,0.0,24:21,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0
2019-11-05,Running,False,Longview Running,6.00,467,00:56:47,157,176,150,156,0 days 00:09:28,0 days 00:07:29,180,272,1.13,0.0,0.0,0.0,0.0,0.0,56:47,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0
2019-11-06,Running,False,Longview Running,6.04,936,00:53:23,173,189,147,157,0 days 00:08:51,0 days 00:07:23,197,285,1.24,0.0,0.0,0.0,0.0,0.0,53:23,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0
2019-11-08,Treadmill Running,False,Treadmill Running,4.00,553,00:33:19,165,188,154,164,0 days 00:08:20,0 days 00:06:43,0,0,1.36,0.0,0.0,0.0,0.0,0.0,33:19,0:00,0.0,0:00,No,02:51.41,5,0.0,5,garmin,0
2019-11-09,Running,False,Longview Running,12.06,"1,796",01:52:43,163,182,150,158,0 days 00:09:21,0 days 00:08:06,515,604,1.15,0.0,0.0,0.0,0.0,0.0,1:52:43,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0
2019-11-12,Running,False,Longview Running,5.28,713,00:46:00,155,178,152,165,0 days 00:08:43,0 days 00:07:44,108,220,1.21,0.0,0.0,0.0,0.0,0.0,46:00,0:00,0.0,0:00,No,02:14.72,6,0.0,5,garmin,0
2019-11-14,Treadmill Running,False,Treadmill Running,6.20,871,00:50:43,167,190,151,156,0 days 00:08:11,0 days 00:08:24,0,0,1.23,0.0,0.0,0.0,0.0,0.0,50:43,0:00,0.0,0:00,No,07:12.61,6,0.0,5,garmin,0
2019-11-18,Running,False,Longview Running,9.16,"1,199",01:27:41,145,167,148,156,0 days 00:09:35,0 days 00:07:47,193,204,1.14,0.0,0.0,0.0,0.0,0.0,1:27:41,0:00,0.0,0:00,No,01:23.71,10,0.0,5,garmin,0
2019-11-19,Treadmill Running,False,Treadmill Running,4.14,631,00:36:31,167,188,146,160,0 days 00:08:49,0 days 00:07:09,0,0,1.25,0.0,0.0,0.0,0.0,0.0,36:31,0:00,0.0,0:00,No,01:30.61,5,0.0,5,garmin,0
2019-11-20,Running,False,Longview Running,8.02,"1,169",01:09:45,164,184,150,159,0 days 00:08:42,0 days 00:07:29,266,335,1.24,0.0,0.0,0.0,0.0,0.0,1:09:45,0:00,0.0,0:00,No,00:10.55,9,0.0,5,garmin,0
2019-11-21,Running,False,Longview Running,4.05,610,00:36:29,167,180,149,156,0 days 00:09:01,0 days 00:07:41,20,85,1.2,0.0,0.0,0.0,0.0,0.0,36:29,0:00,0.0,0:00,No,00:24.100,5,0.0,5,garmin,0
2019-11-21,Treadmill Running,False,Treadmill Running,0.00,0,00:00:03.8,63,65,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0:03.8,0:00,0.0,0:00,No,00:00.00,1,0.0,5,garmin,0
2019-11-23,Running,False,Longview Running,15.20,"2,046",02:23:06,154,175,145,173,0 days 00:09:25,0 days 00:07:36,449,620,1.18,0.0,0.0,0.0,0.0,0.0,2:23:06,0:00,0.0,0:00,No,01:48.52,16,0.0,5,garmin,0
2019-11-26,Treadmill Running,False,Treadmill Running,6.43,989,01:00:02,162,179,149,156,0 days 00:09:20,0 days 00:08:09,0,0,1.28,0.0,0.0,0.0,0.0,0.0,1:00:02,0:00,0.0,0:00,No,00:48.18,8,0.0,5,garmin,0
2019-11-28,Running,False,Gregg County Running,7.00,"1,060",01:01:00,170,193,150,160,0 days 00:08:43,0 days 00:07:19,472,643,1.23,0.0,0.0,0.0,0.0,0.0,1:01:00,0:00,0.0,0:00,No,00:02.52,8,0.0,5,garmin,0
2019-11-29,Running,False,Longview Running,5.26,712,00:49:21,150,165,142,158,0 days 00:09:23,0 days 00:07:33,108,177,1.21,0.0,0.0,0.0,0.0,0.0,49:21,0:00,0.0,0:00,No,02:16.93,6,0.0,5,garmin,0
2019-12-01,Running,False,Longview Running,15.00,"2,335",02:29:03,168,183,142,184,0 days 00:09:56,0 days 00:06:41,489,587,1.14,0.0,0.0,0.0,0.0,0.0,2:29:03,0:00,0.0,0:00,No,09:01.63,15,0.0,5,garmin,0
2019-12-03,Running,False,Longview Running,5.19,746,00:48:50,154,174,152,162,0 days 00:09:24,0 days 00:07:44,138,187,1.13,0.0,0.0,0.0,0.0,0.0,48:50,0:00,0.0,0:00,No,01:46.09,6,0.0,5,garmin,0
2019-12-04,Treadmill Running,False,Treadmill Running,9.00,"1,352",01:17:59,171,191,150,160,0 days 00:08:40,0 days 00:08:10,0,0,1.14,0.0,0.0,0.0,0.0,0.0,1:17:59,0:00,0.0,0:00,No,02:38.17,9,0.0,5,garmin,0
2019-12-05,Running,False,Longview Running,4.50,635,00:38:46,164,174,152,160,0 days 00:08:37,0 days 00:07:39,154,226,1.23,0.0,0.0,0.0,0.0,0.0,38:46,0:00,0.0,0:00,No,04:33.82,5,0.0,5,garmin,0
2019-12-05,Running,False,Longview Running,1.02,153,00:09:37.5,161,169,148,160,0 days 00:09:25,0 days 00:07:59,36,13,1.16,0.0,0.0,0.0,0.0,0.0,9:37.5,0:00,0.0,0:00,No,00:10.52,2,0.0,5,garmin,0
2019-12-07,Running,False,Longview Running,17.04,"2,278",02:38:37,156,180,147,158,0 days 00:09:18,0 days 00:07:54,728,814,1.18,0.0,0.0,0.0,0.0,0.0,2:38:37,0:00,0.0,0:00,No,00:22.96,18,0.0,5,garmin,0
2019-12-10,Treadmill Running,False,Treadmill Running,5.00,750,00:46:25,157,170,148,156,0 days 00:09:17,0 days 00:08:27,0,0,1.23,0.0,0.0,0.0,0.0,0.0,46:25,0:00,0.0,0:00,No,02:17.44,6,0.0,5,garmin,0
2019-12-14,Running,False,Longview Running,9.02,"1,438",01:23:50,170,187,148,164,0 days 00:09:18,0 days 00:07:59,230,322,1.17,0.0,0.0,0.0,0.0,0.0,1:23:50,0:00,0.0,0:00,No,00:13.06,10,0.0,5,garmin,0
2019-12-15,Running,False,Galveston Running,13.03,"1,886",02:02:46,166,180,146,163,0 days 00:09:25,0 days 00:08:16,26,102,1.17,0.0,0.0,0.0,0.0,0.0,2:02:46,0:00,0.0,0:00,No,00:12.19,14,0.0,5,garmin,1
