,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2019-09-25,Running,False,Longview Running,5.97,867,01:03:29,152,177,139,155,0 days 00:10:38,0 days 00:08:41,256,325,1.09,0.0,0.0,0.0,0.0,0.0,1:03:29,0:00,0.0,0:00,No,09:42.43,6,0.0,5,garmin,0,42.88107202680067,0.8685714285714285,8.275862068965516,5.6426332288401255,8.276134991572086,9.5284448916126
1,1,2019-09-25,Running,False,Longview Running,1.03,147,00:08:58.6,174,187,149,157,0 days 00:08:45,0 days 00:07:46,161,138,1.24,0.0,0.0,0.0,0.0,0.0,8:58.6,0:00,0.0,0:00,No,00:12.47,2,0.0,5,garmin,0,156.31067961165047,0.9942857142857143,10.057142857142855,6.857142857142857,10.061549003885517,10.119373998160722
2,2,2019-09-27,Running,False,Longview Running,3.01,430,00:26:17,173,193,148,157,0 days 00:08:45,0 days 00:07:27,7,59,1.25,0.0,0.0,0.0,0.0,0.0,26:17,0:00,0.0,0:00,No,00:03.77,4,0.0,5,garmin,0,2.3255813953488373,0.9885714285714285,10.057142857142855,6.857142857142857,10.057143832671095,10.173411391430298
3,3,2019-09-28,Running,False,Longview Running,5.21,731,00:50:49,155,176,149,156,0 days 00:09:45,0 days 00:07:49,427,476,1.11,0.0,0.0,0.0,0.0,0.0,50:49,0:00,0.0,0:00,No,01:57.41,6,0.0,5,garmin,0,81.95777351247601,0.8857142857142857,9.025641025641026,6.153846153846154,9.026728288021472,10.191467421959727
4,4,2019-09-28,Running,False,Longview Running,5.01,792,00:53:26,165,177,142,160,0 days 00:10:40,0 days 00:08:33,164,187,1.06,0.0,0.0,0.0,0.0,0.0,53:26,0:00,0.0,0:00,No,00:03.15,6,0.0,5,garmin,0,32.734530938123754,0.9428571428571428,8.25,5.625,8.250158549245276,8.750168158290444
5,5,2019-10-01,Running,False,Longview Running,5.27,722,00:49:08,158,183,149,155,0 days 00:09:19,0 days 00:08:19,138,184,1.16,0.0,0.0,0.0,0.0,0.0,49:08,0:00,0.0,0:00,No,02:23.91,6,0.0,5,garmin,0,26.18595825426945,0.9028571428571428,9.445438282647585,6.440071556350627,9.445554443167131,10.461848275659797
6,6,2019-10-02,Running,False,Longview Running,7.01,964,01:04:42,159,182,149,157,0 days 00:09:14,0 days 00:06:58,653,705,1.17,0.0,0.0,0.0,0.0,0.0,1:04:42,0:00,0.0,0:00,No,00:07.39,8,0.0,5,garmin,0,93.15263908701854,0.9085714285714286,9.530685920577618,6.498194945848376,9.532169062985835,10.491381044166799
7,7,2019-10-03,Running,False,Longview Running,5.13,719,00:48:20,156,180,149,158,0 days 00:09:25,0 days 00:08:16,315,384,1.15,0.0,0.0,0.0,0.0,0.0,48:20,0:00,0.0,0:00,No,01:19.21,6,0.0,5,garmin,0,61.40350877192983,0.8914285714285715,9.345132743362832,6.371681415929204,9.345764659328452,10.484030867836404
8,8,2019-10-05,Running,False,Longview Running,12.01,"1,771",01:58:45,162,182,147,157,0 days 00:09:53,0 days 00:07:19,584,676,1.11,0.0,0.0,0.0,0.0,0.0,1:58:45,0:00,0.0,0:00,No,00:07.43,13,0.0,5,garmin,0,48.62614487926728,0.9257142857142857,8.903878583473862,6.070826306913997,8.90425616597548,9.618795241022896
9,9,2019-10-07,Running,False,Longview Running,5.0,707,00:42:57,170,186,147,162,0 days 00:08:36,0 days 00:07:18,180,217,1.27,0.0,0.0,0.0,0.0,0.0,42:57,0:00,0.0,0:00,No,08:25.85,5,0.0,5,garmin,0,36.0,0.9714285714285714,10.232558139534882,6.976744186046512,10.232795980322551,10.533760567979098
10,10,2019-10-08,Running,False,Longview Running,5.12,708,00:50:27,148,164,151,156,0 days 00:09:51,0 days 00:08:36,121,194,1.08,0.0,0.0,0.0,0.0,0.0,50:27,0:00,0.0,0:00,No,01:12.90,6,0.0,5,garmin,0,23.6328125,0.8457142857142858,8.934010152284264,6.091370558375635,8.934099642848123,10.563969172286631
