date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-06-12,Running,False,Lafayette Running,2.58,270,00:22:02,133,144,2.0,170,174,0 days 00:08:33,0 days 00:07:28,39,33,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,22:02,0:00,0.0,0:00,No,04:59.54,3,0.0,4,garmin,0
2019-06-13,Cycling,False,Lafayette Cycling,2.17,115,00:27:58,0,0,0.0,0,0,4.6,16.9,42,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,27:58,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-13,Cycling,False,Lafayette Cycling,0.36,15,00:01:52.4,0,0,0.0,0,0,11.4,13.7,16,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:52.4,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-13,Cycling,False,Lafayette Cycling,1.86,92,00:09:05.8,0,0,0.0,0,0,12.3,19.7,0,43,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:05.8,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-13,Running,False,Lafayette Running,6.01,702,00:47:58,149,165,3.2,170,176,0 days 00:07:59,0 days 00:07:08,70,64,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,47:58,0:00,0.0,0:00,No,00:06.37,7,0.0,4,garmin,0
2019-06-14,Running,False,Lafayette Running,20.02,"2,372",02:48:41,153,175,3.8,171,178,0 days 00:08:25,0 days 00:07:26,261,235,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:48:41,0:00,0.0,0:00,No,00:10.64,21,0.0,4,garmin,0
2019-06-14,Cycling,False,Lafayette Cycling,1.93,105,00:10:32,0,0,0.0,0,0,11.0,15.5,43,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,10:32,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-15,Running,False,Lafayette Running,0.84,109,00:09:42.2,0,0,0.0,160,183,0 days 00:11:34,0 days 00:05:30,21,26,0.87,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:42.2,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-15,Running,False,Lafayette Running,0.65,86,00:06:46.4,0,0,0.0,165,175,0 days 00:10:29,0 days 00:06:51,0,0,0.93,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,6:46.4,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-17,Running,False,Lafayette - Fartlek 1H1E x 15,9.62,"1,041",01:13:35,153,183,3.7,170,192,0 days 00:07:39,0 days 00:05:34,132,132,1.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:13:35,0:00,0.0,0:00,No,01:00.00,44,0.0,4,garmin,0
