date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-06-13,Running,False,Lafayette Running,6.01,702,00:47:58,149,165,3.2,170,176,0 days 00:07:59,0 days 00:07:08,70,64,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,47:58,0:00,0.0,0:00,No,00:06.37,7,0.0,4,garmin,0
2019-06-13,Cycling,False,Lafayette Cycling,1.86,92,00:09:05.8,0,0,0.0,0,0,12.3,19.7,0,43,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:05.8,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-13,Cycling,False,Lafayette Cycling,2.17,115,00:27:58,0,0,0.0,0,0,4.6,16.9,42,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,27:58,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-13,Cycling,False,Lafayette Cycling,0.36,15,00:01:52.4,0,0,0.0,0,0,11.4,13.7,16,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:52.4,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-14,Running,False,Lafayette Running,20.02,"2,372",02:48:41,153,175,3.8,171,178,0 days 00:08:25,0 days 00:07:26,261,235,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:48:41,0:00,0.0,0:00,No,00:10.64,21,0.0,4,garmin,0
2019-06-14,Cycling,False,Lafayette Cycling,1.93,105,00:10:32,0,0,0.0,0,0,11.0,15.5,43,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,10:32,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-15,Running,False,Lafayette Running,0.84,109,00:09:42.2,0,0,0.0,160,183,0 days 00:11:34,0 days 00:05:30,21,26,0.87,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:42.2,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-15,Running,False,Lafayette Running,0.65,86,00:06:46.4,0,0,0.0,165,175,0 days 00:10:29,0 days 00:06:51,0,0,0.93,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,6:46.4,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-17,Running,False,Lafayette - Fartlek 1H1E x 15,9.62,"1,041",01:13:35,153,183,3.7,170,192,0 days 00:07:39,0 days 00:05:34,132,132,1.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:13:35,0:00,0.0,0:00,No,01:00.00,44,0.0,4,garmin,0
2019-06-18,Running,False,Louisville Running,5.84,602,00:46:09,141,171,2.6,168,175,0 days 00:07:55,0 days 00:07:11,14,166,1.21,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:09,0:00,0.0,0:00,No,06:46.54,6,0.0,4,garmin,0
2019-06-20,Running,False,Lafayette Running,3.33,419,00:27:59,149,164,2.9,170,176,0 days 00:08:25,0 days 00:07:42,135,0,1.13,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,27:59,0:00,0.0,0:00,No,02:44.09,4,0.0,4,garmin,0
2019-06-20,Running,False,Lafayette Running,3.04,366,00:24:18,151,165,2.9,169,174,0 days 00:08:00,0 days 00:07:23,0,140,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:18,0:00,0.0,0:00,No,00:18.22,4,0.0,4,garmin,0
2019-06-21,Running,False,Lafayette Running,12.01,"1,460",01:27:00,168,189,5.0,173,184,0 days 00:07:15,0 days 00:06:09,189,183,1.28,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:27:00,0:00,0.0,0:00,No,00:05.23,13,0.0,4,garmin,0
2019-06-23,Running,False,Lafayette Running,6.78,787,00:57:13,147,162,3.0,171,177,0 days 00:08:27,0 days 00:07:41,607,676,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,57:13,0:00,0.0,0:00,No,06:29.62,7,0.0,4,garmin,0
2019-06-24,Running,False,Lafayette Running,9.05,"1,175",01:10:56,0,0,0.0,171,184,0 days 00:07:50,0 days 00:05:17,83,72,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:10:56,0:00,0.0,0:00,No,00:03.71,44,0.0,4,garmin,0
2019-06-26,Running,False,Morton Running,5.88,783,00:47:16,0,0,0.0,168,172,0 days 00:08:02,0 days 00:07:12,32,21,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,47:16,0:00,0.0,0:00,No,06:57.73,6,0.0,4,garmin,0
2019-06-29,Running,False,Morton Running,9.08,"1,209",01:08:19,0,0,0.0,170,178,0 days 00:07:31,0 days 00:06:19,60,48,1.25,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:08:19,0:00,0.0,0:00,No,00:40.12,10,0.0,4,garmin,0
