date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-04-27,Running,False,Lafayette Running,8.32,768,01:11:36,136,160,2.2,170,183,0 days 00:08:36,0 days 00:07:46,176,169,1.1,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:11:36,0:00,0.0,0:00,No,02:47.38,9,0.0,4,garmin,0
2019-04-28,Running,False,Lafayette Running,7.56,874,01:05:26,144,158,2.9,168,176,0 days 00:08:39,0 days 00:07:46,146,84,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:05:26,0:00,0.0,0:00,No,04:54.33,8,0.0,4,garmin,0
2019-04-29,Running,False,Lafayette - Fartlek ladder,9.04,910,01:10:28,146,176,3.2,172,192,0 days 00:07:48,0 days 00:04:58,245,245,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:10:28,0:00,0.0,0:00,No,01:00.00,20,0.0,4,garmin,0
2019-04-30,Running,False,Lafayette Running,8.01,746,01:08:21,135,158,2.2,170,181,0 days 00:08:32,0 days 00:07:33,125,122,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:08:21,0:00,0.0,0:00,No,00:02.82,9,0.0,4,garmin,0
2019-05-01,Running,False,Lafayette Running,10.09,"1,074",01:25:35,144,158,2.8,172,207,0 days 00:08:29,0 days 00:06:09,194,180,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:25:35,0:00,0.0,0:00,No,00:46.05,11,0.0,4,garmin,0
2019-05-02,Running,False,Lafayette Running,8.37,820,01:09:34,139,156,2.3,170,178,0 days 00:08:19,0 days 00:06:12,156,153,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:09:34,0:00,0.0,0:00,No,03:03.17,9,0.0,4,garmin,0
2019-05-03,Running,False,Tazewell County Running,7.63,749,01:03:34,137,155,2.2,169,178,0 days 00:08:20,0 days 00:07:16,175,183,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:03:34,0:00,0.0,0:00,No,04:58.10,8,0.0,4,garmin,0
2019-05-06,Running,False,Lafayette - 5 x 1.5 miles,14.00,"1,681",01:45:34,160,182,4.5,169,189,0 days 00:07:32,0 days 00:05:56,325,323,1.26,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:45:34,0:00,0.0,0:00,No,03:14.71,19,0.0,4,garmin,0
2019-05-08,Running,False,Lafayette Running,6.16,663,00:48:14,148,180,3.0,172,198,0 days 00:07:49,0 days 00:04:31,91,84,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,48:14,0:00,0.0,0:00,No,00:36.31,21,0.0,4,garmin,0
2019-05-09,Running,False,Lafayette Running,0.18,48,00:34:02,0,0,0.0,164,171,0 days 00:00:00,0 days 00:07:51,0,0,0.05,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,34:02,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-05-10,Running,False,Douglas County Running,16.01,"1,772",02:11:00,152,179,3.5,170,187,0 days 00:08:11,0 days 00:06:02,52,67,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:11:00,0:00,0.0,0:00,No,00:03.31,17,0.0,4,garmin,0
2019-05-11,Running,False,Boulder County Running,8.01,884,01:08:56,142,170,2.6,168,174,0 days 00:08:37,0 days 00:07:04,338,338,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:08:56,0:00,0.0,0:00,No,00:02.28,9,0.0,4,garmin,0
2019-05-12,Cycling,False,Lafayette Cycling,5.44,295,00:41:19,0,0,0.0,0,0,7.9,15.1,84,77,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,41:19,0:00,0.0,0:00,No,03:26.46,2,0.0,4,garmin,0
