,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2019-06-13,Running,False,Lafayette Running,6.01,702,00:47:58,149,165,3.2,170,176,0 days 00:07:59,0 days 00:07:08,70,64,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,47:58,0:00,0.0,0:00,No,00:06.37,7,0.0,4,garmin,0,11.647254575707155,0.8514285714285714,11.022964509394571,7.515657620041754,11.022991328678378,12.946466325628968
1,4,2019-06-14,Running,False,Lafayette Running,20.02,"2,372",02:48:41,153,175,3.8,171,178,0 days 00:08:25,0 days 00:07:26,261,235,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:48:41,0:00,0.0,0:00,No,00:10.64,21,0.0,4,garmin,0,13.036963036963037,0.8742857142857143,10.455445544554454,7.128712871287129,10.455477415643973,11.9588793969784
2,6,2019-06-15,Running,False,Lafayette Running,0.84,109,00:09:42.2,0,0,0.0,160,183,0 days 00:11:34,0 days 00:05:30,21,26,0.87,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:42.2,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0,25.0,0.0,7.60806916426513,5.187319884726225,7.608154445640271,inf
3,7,2019-06-15,Running,False,Lafayette Running,0.65,86,00:06:46.4,0,0,0.0,165,175,0 days 00:10:29,0 days 00:06:51,0,0,0.93,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,6:46.4,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0,0.0,0.0,8.394276629570747,5.723370429252783,8.394276629570747,inf
4,8,2019-06-17,Running,False,Lafayette - Fartlek 1H1E x 15,9.62,"1,041",01:13:35,153,183,3.7,170,192,0 days 00:07:39,0 days 00:05:34,132,132,1.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:13:35,0:00,0.0,0:00,No,01:00.00,44,0.0,4,garmin,0,13.721413721413722,0.8742857142857143,11.503267973856207,7.8431372549019605,11.50330681753743,13.15737707888268
5,9,2019-06-18,Running,False,Louisville Running,5.84,602,00:46:09,141,171,2.6,168,175,0 days 00:07:55,0 days 00:07:11,14,166,1.21,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:09,0:00,0.0,0:00,No,06:46.54,6,0.0,4,garmin,0,2.397260273972603,0.8057142857142857,11.11578947368421,7.578947368421052,11.115790619389259,13.796194031156881
6,10,2019-06-20,Running,False,Lafayette Running,3.33,419,00:27:59,149,164,2.9,170,176,0 days 00:08:25,0 days 00:07:42,135,0,1.13,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,27:59,0:00,0.0,0:00,No,02:44.09,4,0.0,4,garmin,0,40.54054054054054,0.8514285714285714,10.455445544554454,7.128712871287129,10.45575373372429,12.280247673837254
7,11,2019-06-20,Running,False,Lafayette Running,3.04,366,00:24:18,151,165,2.9,169,174,0 days 00:08:00,0 days 00:07:23,0,140,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:18,0:00,0.0,0:00,No,00:18.22,4,0.0,4,garmin,0,0.0,0.8628571428571429,11.0,7.5,11.0,12.748344370860927
8,12,2019-06-21,Running,False,Lafayette Running,12.01,"1,460",01:27:00,168,189,5.0,173,184,0 days 00:07:15,0 days 00:06:09,189,183,1.28,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:27:00,0:00,0.0,0:00,No,00:05.23,13,0.0,4,garmin,0,15.736885928393006,0.96,12.137931034482758,8.275862068965518,12.137984946235793,12.643734318995618
9,13,2019-06-23,Running,False,Lafayette Running,6.78,787,00:57:13,147,162,3.0,171,177,0 days 00:08:27,0 days 00:07:41,607,676,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,57:13,0:00,0.0,0:00,No,06:29.62,7,0.0,4,garmin,0,89.52802359882006,0.84,10.414201183431953,7.100591715976332,10.415698159662208,12.399640666264533
10,14,2019-06-24,Running,False,Lafayette Running,9.05,"1,175",01:10:56,0,0,0.0,171,184,0 days 00:07:50,0 days 00:05:17,83,72,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:10:56,0:00,0.0,0:00,No,00:03.71,44,0.0,4,garmin,0,9.171270718232044,0.0,11.23404255319149,7.659574468085107,11.234059500351213,inf
11,15,2019-06-26,Running,False,Morton Running,5.88,783,00:47:16,0,0,0.0,168,172,0 days 00:08:02,0 days 00:07:12,32,21,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,47:16,0:00,0.0,0:00,No,06:57.73,6,0.0,4,garmin,0,5.442176870748299,0.0,10.95435684647303,7.468879668049793,10.954362665283782,inf
12,16,2019-06-29,Running,False,Morton Running,9.08,"1,209",01:08:19,0,0,0.0,170,178,0 days 00:07:31,0 days 00:06:19,60,48,1.25,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:08:19,0:00,0.0,0:00,No,00:40.12,10,0.0,4,garmin,0,6.607929515418502,0.0,11.707317073170731,7.982261640798226,11.7073262414994,inf
13,17,2019-07-01,Running,False,Morton Running,8.02,"1,074",01:05:25,0,0,0.0,169,176,0 days 00:08:10,0 days 00:07:19,59,50,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:05:25,0:00,0.0,0:00,No,00:07.47,9,0.0,4,garmin,0,7.356608478802993,0.0,10.775510204081632,7.346938775510204,10.775520663199991,inf
14,18,2019-07-02,Running,False,Morton - 10 x 800,10.21,"1,328",01:23:30,0,0,0.0,162,179,0 days 00:08:11,0 days 00:06:03,41,44,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:23:30,0:00,0.0,0:00,No,01:02.81,24,0.0,4,garmin,0,4.015670910871694,0.0,10.753564154786151,7.3319755600814664,10.753567264860392,inf
15,19,2019-07-03,Running,False,Morton Running,6.42,763,00:54:28,146,159,3.1,169,178,0 days 00:08:29,0 days 00:07:50,32,30,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,54:28,0:00,0.0,0:00,No,03:32.40,7,0.0,4,garmin,0,4.984423676012461,0.8342857142857143,10.37328094302554,7.072691552062869,10.373285565218834,12.433732698036273
16,20,2019-07-05,Running,False,East Moline Running,14.01,"1,618",02:02:45,146,181,3.6,170,176,0 days 00:08:46,0 days 00:07:33,55,50,1.08,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:02:45,0:00,0.0,0:00,No,00:06.64,15,0.0,4,garmin,0,3.9257673090649536,0.8342857142857143,10.03802281368821,6.844106463878326,10.038025588281847,12.03187998595427
