date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace
2019-03-18,Running,False,Sparta - Running,7.66,949,00:59:52,145,156.0,3.3,158,166,7:49,6:26,0,0,1.29,8.4,11.2,248,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,59:52,0:00,111.2,0:00,No,05:14.70,8.0,0.0,0,2,garmin,0,0 days 00:07:49,0 days 00:07:49
2019-03-19,Pool Swimming,False,Lap Swimming,"4,100",950,01:15:08,0,0.0,0.0,0,0,1:28,1:07,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1633,32,28,1:15:08,0:00,0.0,0:00,No,00:03.90,50.0,0.0,0,2,garmin,0,0 days 00:01:28,0 days 00:01:28
2019-03-20,Running,False,Sparta - CH R83 2x20' Z3,7.35,680,00:55:10,152,164.0,2.3,160,184,7:30,6:07,"1,686","1,640",1.33,8.1,10.9,243,47.2% L / 52.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,55:10,0:00,0.0,0:00,No,00:09.68,10.0,0.0,0,2,garmin,0,0 days 00:07:30,0 days 00:07:30
2019-03-21,Virtual Cycling,False,Zwift - Innsbruck,19.35,977,01:30:17,0,0.0,0.0,0,0,12.9,47.4,"2,372",0,0.0,0.0,0.0,0,0,90,105,191.0,0.0,193,188,236.0,0.0,0.0,0,0,0,1:30:17,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-03-23,Cycling,False,Sparta Cycling,54.32,"1,264",03:38:09,112,146.0,0.5,0,0,14.9,29.3,"4,006","4,068",0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,3:38:09,0:00,0.0,0:00,No,16:14.27,11.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-03-24,Running,False,Sparta Running,6.80,552,00:56:48,137,146.0,1.9,154,165,8:21,7:07,"1,132","1,115",1.24,9.2,11.6,257,47.1% L / 52.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,56:48,0:00,0.0,0:00,No,06:41.92,7.0,0.0,0,2,garmin,0,0 days 00:08:21,0 days 00:08:21
2019-03-25,Running,False,Sparta Running,6.60,573,00:55:03,140,155.0,2.0,156,256,8:20,2:59,"1,145","1,184",1.27,7.9,10.3,265,47.3% L / 52.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,55:03,0:00,0.0,0:00,No,00:17.89,20.0,0.0,0,2,garmin,0,0 days 00:08:20,0 days 00:08:20
2019-03-26,Running,False,Sparta Running,5.38,557,00:45:51,144,151.0,2.1,157,172,8:31,7:20,732,722,1.19,8.9,10.9,264,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,45:51,0:00,0.0,0:00,No,03:14.69,6.0,0.0,0,2,garmin,0,0 days 00:08:31,0 days 00:08:31
2019-03-27,Virtual Cycling,False,Zwift - NYC,15.73,618,01:01:18,0,0.0,0.0,0,0,15.4,47.6,"1,391",0,0.0,0.0,0.0,0,0,87,103,181.0,0.0,183,176,207.0,0.0,0.0,0,0,0,1:01:18,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-03-27,Running,False,Sparta Running,5.57,547,00:45:04,145,156.0,2.1,156,199,8:05,6:09,955,991,1.26,8.5,11.0,257,47.4% L / 52.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,45:04,0:00,0.0,0:00,No,04:33.23,6.0,0.0,0,2,garmin,0,0 days 00:08:05,0 days 00:08:05
2019-03-28,Running,False,Sparta Running,5.16,484,00:44:28,137,150.0,2.0,155,161,8:37,7:56,928,902,1.19,9.0,10.9,261,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,44:28,0:00,0.0,0:00,No,01:22.19,6.0,0.0,0,2,garmin,0,0 days 00:08:37,0 days 00:08:37
2019-03-29,Virtual Cycling,False,Zwift - Richmond,18.20,639,00:55:21,0,0.0,0.0,0,0,19.7,42.6,617,0,0.0,0.0,0.0,0,0,88,111,218.0,0.0,229,201,316.0,0.0,0.0,0,0,0,55:21,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-03-30,Virtual Cycling,False,Zwift - London,47.35,"1,855",03:03:20,0,0.0,0.0,0,0,15.5,47.4,"3,199",0,0.0,0.0,0.0,0,0,85,99,183.0,0.0,199,177,277.0,0.0,0.0,0,0,0,3:03:20,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-03-31,Running,False,Sparta Running,14.32,"1,173",01:58:07,140,158.0,2.5,155,256,8:15,7:06,"2,418","2,480",1.25,9.2,11.7,268,48.3% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:58:07,0:00,0.0,0:00,No,02:41.29,15.0,0.0,0,2,garmin,0,0 days 00:08:15,0 days 00:08:15
2019-04-02,Running,False,Sparta Running,6.67,635,01:01:39,139,164.0,2.1,142,256,9:14,3:18,"1,217","1,211",1.22,7.6,9.9,279,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:01:39,0:00,0.0,0:00,No,00:16.57,20.0,0.0,0,2,garmin,0,0 days 00:09:14,0 days 00:09:14
2019-04-03,Running,False,Sparta Running,4.33,509,00:35:45,154,174.0,2.6,153,168,8:15,6:22,837,853,1.27,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,35:45,0:00,0.0,0:00,No,02:42.31,5.0,0.0,0,2,garmin,0,0 days 00:08:15,0 days 00:08:15
2019-04-04,Virtual Cycling,False,Zwift - NYC,17.53,762,01:00:37,0,0.0,0.0,0,0,17.3,48.6,"1,549",0,0.0,0.0,0.0,0,0,88,102,239.0,0.0,246,219,345.0,0.0,0.0,0,0,0,1:00:37,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-04-05,Pool Swimming,False,CH S206 3550,"3,400",684,01:05:40,0,0.0,0.0,0,0,1:27,1:09,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1170,32,28,1:05:40,0:00,0.0,0:00,No,00:05.28,58.0,0.0,0,2,garmin,0,0 days 00:01:27,0 days 00:01:27
2019-04-06,Cycling,False,Sparta Cycling,59.34,"1,313",03:27:53,125,149.0,0.5,0,0,17.1,31.5,"1,266","1,243",0.0,0.0,0.0,0,0,91,122,0.0,0.0,0,0,0.0,0.0,0.0,17351,0,0,3:27:53,0:00,59.0,0:00,No,13:51.24,12.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2019-04-09,Running,False,Sparta Running,3.44,306,00:29:15,138,146.0,1.5,153,163,8:31,6:55,56,69,1.22,9.1,11.3,261,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,29:15,0:00,64.4,0:00,No,03:47.71,4.0,0.0,0,2,garmin,0,0 days 00:08:31,0 days 00:08:31
2019-04-10,Running,False,Sparta Running,5.72,484,00:47:02,142,165.0,2.0,155,211,8:13,3:11,151,135,1.25,8.8,11.1,259,48.2% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,47:02,0:00,69.8,0:00,No,06:09.26,6.0,0.0,0,2,garmin,0,0 days 00:08:13,0 days 00:08:13
2019-04-11,Running,False,Sparta Running,6.05,553,00:58:38,140,174.0,2.4,128,233,9:41,4:16,164,167,1.26,7.8,9.8,273,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,58:38,0:00,73.4,0:00,No,04:55.03,8.0,0.0,0,2,garmin,0,0 days 00:09:41,0 days 00:09:41
2019-04-12,Running,False,Sparta Running,2.86,292,00:24:16,135,143.0,1.2,154,160,8:30,7:01,46,62,1.21,9.1,11.2,261,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,24:16,0:00,46.4,0:00,No,07:07.98,3.0,0.0,0,2,garmin,0,0 days 00:08:30,0 days 00:08:30
2019-04-13,Running,False,Union County Running,3.70,397,00:23:42,164,179.0,3.0,166,178,6:24,5:22,187,200,1.43,7.2,10.5,228,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,23:42,0:00,57.2,0:00,No,04:15.68,4.0,0.0,2,2,garmin,1,0 days 00:06:24,0 days 00:06:24
2019-04-13,Running,False,Goreville Running,3.80,435,00:24:21,166,178.0,3.0,168,182,6:24,4:16,256,223,1.5,6.5,10.1,231,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,24:21,0:00,60.8,0:00,No,05:11.82,4.0,0.0,2,2,garmin,1,0 days 00:06:24,0 days 00:06:24
2019-04-13,Running,False,Pope County Running,3.19,387,00:20:35,169,177.0,2.9,168,187,6:27,4:48,210,233,1.46,6.9,10.1,235,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:35,0:00,59.0,0:00,No,01:14.67,4.0,0.0,2,2,garmin,1,0 days 00:06:27,0 days 00:06:27
