date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace
2018-10-28,Cycling,False,Sparta Cycling,48.32,"1,487",03:00:26,121,141.0,2.2,0,0,16.1,30.4,"1,371","1,407",0.0,0.0,0.0,0,0,89,115,0.0,0.0,0,0,0.0,0.0,0.0,14984,0,0,3:00:26,0:00,64.4,0:00,No,00:00.00,10.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-10-29,Cycling,False,Sparta Cycling,23.92,772,01:35:15,116,135.0,1.4,0,0,15.1,31.5,499,479,0.0,0.0,0.0,0,0,88,108,0.0,0.0,0,0,0.0,0.0,0.0,7005,0,0,1:35:15,0:00,64.4,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-10-30,Running,False,Sparta Running,7.40,858,01:00:05,143,154.0,2.8,158,174,8:07,6:17,148,118,1.24,8.7,11.1,256,47.1% L / 52.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:00:05,0:00,51.8,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:08:07,0 days 00:08:07
2018-10-30,Running,False,Sparta Running,2.61,371,00:24:51,145,165.0,2.6,146,211,9:30,4:11,138,118,1.16,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,24:51,0:00,78.8,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:09:30,0 days 00:09:30
2018-10-30,Pool Swimming,False,Lap Swimming,"3,800",672,01:15:59,0,0.0,0.0,0,0,1:25,1:05,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1122,31,28,1:15:59,0:00,80.6,0:00,No,00:00.00,74.0,0.0,0,2,garmin,0,0 days 00:01:25,0 days 00:01:25
2018-10-31,Cycling,False,Sparta Cycling,16.89,583,01:00:03,123,153.0,2.0,0,0,16.9,33.5,338,341,0.0,0.0,0.0,0,0,87,109,0.0,0.0,0,0,0.0,0.0,0.0,5006,0,0,1:00:03,0:00,57.2,0:00,No,00:00.00,4.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-10-31,Running,False,Sparta Running,7.14,830,00:59:14,142,152.0,2.7,157,171,8:18,6:02,180,157,1.22,8.5,10.7,264,47.0% L / 53.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,59:14,0:00,55.4,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:08:18,0 days 00:08:18
2018-10-31,Running,False,Sparta Running,3.34,439,00:25:47,155,171.0,3.1,166,177,7:43,6:47,69,75,1.25,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,25:47,0:00,62.6,0:00,No,00:00.00,4.0,0.0,0,2,garmin,0,0 days 00:07:43,0 days 00:07:43
2018-11-01,Pool Swimming,False,Lap Swimming,"2,300",480,00:45:10,0,0.0,0.0,0,0,1:32,1:19,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,849,34,28,45:10,0:00,82.4,0:00,No,00:00.00,20.0,0.0,0,2,garmin,0,0 days 00:01:32,0 days 00:01:32
2018-11-02,Running,False,Peoria Running,2.99,384,00:22:09,157,177.0,3.1,159,168,7:25,6:32,112,92,1.36,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,22:09,0:00,51.8,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:07:25,0 days 00:07:25
2018-11-03,Running,False,Sparta Running,7.27,826,00:59:15,142,163.0,2.6,156,175,8:09,5:37,157,131,1.26,8.7,11.1,268,46.8% L / 53.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,59:15,0:00,51.8,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:08:09,0 days 00:08:09
2018-11-04,Cycling,False,Sparta Cycling,32.31,968,02:27:27,110,142.0,1.5,0,0,13.1,30.0,912,909,0.0,0.0,0.0,0,0,79,116,0.0,0.0,0,0,0.0,0.0,0.0,8974,0,0,2:27:27,0:00,55.4,0:00,No,00:00.00,7.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-05,Cycling,False,Sparta Cycling,20.49,625,01:15:05,119,149.0,1.3,0,0,16.4,27.7,453,394,0.0,0.0,0.0,0,0,82,109,0.0,0.0,0,0,0.0,0.0,0.0,5915,0,0,1:15:05,0:00,51.8,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-06,Cycling,False,Sparta Cycling,16.62,594,01:00:12,125,156.0,2.0,0,0,16.6,32.7,390,407,0.0,0.0,0.0,0,0,85,109,0.0,0.0,0,0,0.0,0.0,0.0,4859,0,0,1:00:12,0:00,51.8,0:00,No,00:00.00,22.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-06,Pool Swimming,False,Lap Swimming,"1,400",144,00:28:48,0,0.0,0.0,0,0,1:33,1:25,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,250,34,27,28:48,0:00,80.6,0:00,No,00:00.00,25.0,0.0,0,2,garmin,0,0 days 00:01:33,0 days 00:01:33
2018-11-07,Running,False,Sparta Running,7.01,770,00:58:08,141,153.0,2.3,155,179,8:18,6:38,157,154,1.23,8.9,11.3,261,47.4% L / 52.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,58:08,0:00,41.0,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:08:18,0 days 00:08:18
2018-11-08,Pool Swimming,False,Lap Swimming,"3,800",756,01:24:38,0,0.0,0.0,0,0,1:26,0:59,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1240,32,28,1:24:38,0:00,78.8,0:00,No,00:00.00,94.0,0.0,0,2,garmin,0,0 days 00:01:26,0 days 00:01:26
2018-11-09,Running,False,Sparta Running,9.60,"1,067",01:15:04,150,175.0,3.1,159,256,7:49,4:30,259,187,1.29,8.2,10.7,255,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:15:04,0:00,35.6,0:00,No,00:00.00,18.0,0.0,0,2,garmin,0,0 days 00:07:49,0 days 00:07:49
2018-11-10,Cycling,False,Sparta Cycling,46.66,"1,346",02:58:13,115,132.0,2.0,0,0,15.7,35.0,"1,129","1,007",0.0,0.0,0.0,0,0,83,99,0.0,0.0,0,0,0.0,0.0,0.0,13687,0,0,2:58:13,0:00,37.4,0:00,No,00:00.00,10.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-11,Running,False,Sparta Running,10.48,"1,116",01:27:43,140,149.0,2.7,156,192,8:22,7:06,253,203,1.22,8.9,11.1,259,47.2% L / 52.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:27:43,0:00,46.4,0:00,No,00:00.00,11.0,0.0,0,2,garmin,0,0 days 00:08:22,0 days 00:08:22
2018-11-13,Pool Swimming,False,Lap Swimming,"3,900",936,01:14:31,0,0.0,0.1,0,0,1:30,1:09,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1607,33,27,1:14:31,0:00,77.0,0:00,No,00:00.00,46.0,0.0,0,2,garmin,0,0 days 00:01:30,0 days 00:01:30
2018-11-14,Running,False,Sparta Running,5.53,785,00:45:07,159,184.0,4.0,156,172,8:10,6:36,177,112,1.27,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,45:07,0:00,32.0,0:00,No,00:00.00,6.0,0.0,0,2,garmin,0,0 days 00:08:10,0 days 00:08:10
2018-11-15,Virtual Cycling,False,Zwift - Watopia,19.15,587,01:15:44,117,141.0,0.0,0,0,15.2,41.3,912,0,0.0,0.0,0.0,0,0,84,99,152.0,0.0,148,135,293.0,0.0,0.0,0,0,0,1:15:44,0:00,0.0,0:00,No,00:00.00,1.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-15,Pool Swimming,False,Lap Swimming,"3,850",689,01:18:44,0,0.0,0.0,0,0,1:27,1:03,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1157,32,28,1:18:44,0:00,80.6,0:00,No,00:00.00,55.0,0.0,0,2,garmin,0,0 days 00:01:27,0 days 00:01:27
2018-11-16,Running,False,Sparta Running,6.31,733,00:49:45,145,171.0,3.0,159,198,7:53,4:26,157,128,1.26,8.4,10.7,256,47.2% L / 52.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,49:45,0:00,48.2,0:00,No,00:00.00,15.0,0.0,0,2,garmin,0,0 days 00:07:53,0 days 00:07:53
2018-11-17,Cycling,False,Sparta Cycling,52.65,"1,468",02:58:51,121,145.0,2.2,0,0,17.7,32.1,"1,119","1,066",0.0,0.0,0.0,0,0,89,122,0.0,0.0,0,0,0.0,0.0,0.0,15459,0,0,2:58:51,0:00,59.0,0:00,No,00:00.00,11.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-18,Running,False,Sparta Running,7.04,763,00:56:11,142,149.0,2.6,158,178,7:59,6:28,151,108,1.25,8.6,11.0,254,47.4% L / 52.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,56:11,0:00,41.0,0:00,No,00:00.00,8.0,0.0,0,2,garmin,0,0 days 00:07:59,0 days 00:07:59
2018-11-18,Cycling,False,Sparta Cycling,20.93,579,01:25:43,108,129.0,0.5,0,0,14.7,21.2,486,446,0.0,0.0,0.0,0,0,79,103,0.0,0.0,0,0,0.0,0.0,0.0,6218,0,0,1:25:43,0:00,42.8,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-20,Running,False,Sparta Running,6.41,746,00:46:26,158,172.0,3.4,162,206,7:15,6:07,161,105,1.36,7.5,10.4,249,47.2% L / 52.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,46:26,0:00,35.6,0:00,No,00:00.00,11.0,0.0,0,2,garmin,0,0 days 00:07:15,0 days 00:07:15
2018-11-21,Pool Swimming,False,Lap Swimming,"3,900",792,01:17:06,0,0.0,0.0,0,0,1:28,1:08,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1351,32,28,1:17:06,0:00,78.8,0:00,No,00:00.00,50.0,0.0,0,2,garmin,0,0 days 00:01:28,0 days 00:01:28
2018-11-22,Running,False,Sparta Running,6.79,842,01:02:30,140,173.0,2.7,147,256,9:12,2:57,167,115,1.2,8.2,10.2,274,48.2% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:02:30,0:00,57.2,0:00,No,00:00.00,23.0,0.0,0,2,garmin,0,0 days 00:09:12,0 days 00:09:12
2018-11-23,Cycling,False,Sparta Cycling,31.39,804,02:00:01,107,132.0,0.5,0,0,15.7,34.3,735,679,0.0,0.0,0.0,0,0,83,115,0.0,0.0,0,0,0.0,0.0,0.0,9205,0,0,2:00:01,0:00,48.2,0:00,No,00:00.00,7.0,0.0,0,2,garmin,0,00:00:00,00:00:00
2018-11-24,Running,False,Sparta Running,0.97,117,00:08:02.6,136,147.0,1.5,156,164,8:18,7:37,7,3,1.21,9.5,11.7,269,48.0% L / 52.0% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,8:02.6,0:00,66.2,0:00,No,00:00.00,1.0,0.0,0,2,garmin,1,0 days 00:08:18,0 days 00:08:18
2018-11-24,Running,False,Sparta Running,3.09,373,00:19:03,176,183.0,3.5,167,201,6:10,4:20,49,49,1.55,6.4,10.3,226,47.4% L / 52.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,19:03,0:00,55.4,0:00,No,00:00.00,4.0,0.0,1,2,garmin,1,0 days 00:06:10,0 days 00:06:10
2018-11-24,Running,False,Sparta Running,0.94,119,00:07:40.9,142,149.0,1.7,158,169,8:12,7:09,30,13,1.2,9.1,11.2,267,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,7:40.9,0:00,64.4,0:00,No,00:00.00,1.0,0.0,0,2,garmin,1,0 days 00:08:12,0 days 00:08:12
2018-11-25,Pool Swimming,False,Lap Swimming,"3,400",528,01:02:39,0,0.0,0.0,0,0,1:31,1:16,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,934,33,28,1:02:39,0:00,82.4,0:00,No,00:00.00,37.0,0.0,0,2,garmin,0,0 days 00:01:31,0 days 00:01:31
