date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,training_stress_scoreâ,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-08-18 14:44:41,Running,2020-08-18 14:44:41,False,Fairfax County Running,2.50,203,00:19:13,179,199,3.6,174,185,0 days 00:07:41,0 days 00:06:54,109,124,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,19:13,0:00,0.0,0:00,No,03:59.57,3,0.0,6,garmin,0
2020-08-15 14:40:30,Running,2020-08-15 14:40:30,False,Fairfax County Running,2.50,179,00:18:44,166,197,3.2,172,185,0 days 00:07:30,0 days 00:06:53,104,100,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,18:44,0:00,0.0,0:00,No,03:52.93,3,0.0,6,garmin,0
2020-08-13 14:05:43,Running,2020-08-13 14:05:43,False,Fairfax County Running,1.83,136,00:13:38,173,199,3.1,174,187,0 days 00:07:27,0 days 00:06:53,70,90,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:38,0:00,0.0,0:00,No,05:57.43,2,0.0,6,garmin,0
2020-08-11 14:55:57,Running,2020-08-11 14:55:57,False,Fairfax County Running,2.52,207,00:19:38,179,199,3.6,172,189,0 days 00:07:48,0 days 00:07:10,66,78,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,19:38,0:00,0.0,0:00,No,04:10.18,3,0.0,6,garmin,0
2020-08-08 14:02:13,Running,2020-08-08 14:02:13,False,Fairfax County Running,2.00,151,00:15:27,168,200,3.1,175,183,0 days 00:07:44,0 days 00:06:59,87,93,1.19,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:27,0:00,0.0,0:00,No,07:41.83,2,0.0,6,garmin,0
2020-08-04 13:50:16,Running,2020-08-04 13:50:16,False,Fairfax County Running,2.20,177,00:17:16,174,201,3.4,177,187,0 days 00:07:51,0 days 00:07:05,79,93,1.16,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,17:16,0:00,0.0,0:00,No,01:38.56,3,0.0,6,garmin,0
2020-07-30 15:00:30,Running,2020-07-30 15:00:30,False,Fairfax County Running,1.83,143,00:13:37,177,201,3.2,177,187,0 days 00:07:26,0 days 00:06:41,57,86,1.22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:37,0:00,0.0,0:00,No,06:00.87,2,0.0,6,garmin,0
2020-07-28 14:44:37,Running,2020-07-28 14:44:37,False,Fairfax County Running,2.52,203,00:20:01,171,200,3.5,177,187,0 days 00:07:57,0 days 00:06:59,102,116,1.14,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:01,0:00,0.0,0:00,No,04:21.12,3,0.0,6,garmin,0
2020-07-24 14:33:12,Running,2020-07-24 14:33:12,False,Fairfax County Running,1.84,136,00:13:41,165,197,2.9,181,193,0 days 00:07:27,0 days 00:06:35,31,54,1.19,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:41,0:00,0.0,0:00,No,06:02.59,2,0.0,6,garmin,0
2020-07-16 15:11:23,Running,2020-07-16 15:11:23,False,Fairfax County Running,1.81,119,00:13:23,153,197,2.5,178,189,0 days 00:07:23,0 days 00:06:47,74,98,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:23,0:00,0.0,0:00,No,05:53.43,2,0.0,6,garmin,0
2020-07-14 14:28:00,Running,2020-07-14 14:28:00,False,Fairfax County Running,1.81,105,00:13:33,143,186,2.2,178,187,0 days 00:07:30,0 days 00:06:34,66,88,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:33,0:00,0.0,0:00,No,05:50.00,2,0.0,6,garmin,0
2020-07-13 15:02:58,Running,2020-07-13 15:02:58,False,Fairfax County Running,0.97,117,00:11:20,170,186,2.7,158,239,0 days 00:11:42,0 days 00:04:16,7,12,0.87,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,11:20,0:00,0.0,0:00,No,11:20.19,1,0.0,6,garmin,0
2020-07-10 14:43:04,Running,2020-07-10 14:43:04,False,Fairfax County Running,1.79,121,00:13:11,154,195,2.5,179,193,0 days 00:07:21,0 days 00:06:39,63,88,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:11,0:00,0.0,0:00,No,05:38.95,2,0.0,6,garmin,0
2020-07-08 14:00:21,Running,2020-07-08 14:00:21,False,Fairfax County Running,1.00,106,00:10:17,167,191,2.4,172,228,0 days 00:10:17,0 days 00:04:26,0,0,0.91,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,10:17,0:00,0.0,0:00,No,10:16.72,1,0.0,6,garmin,0
2020-07-07 14:04:55,Running,2020-07-07 14:04:55,False,Fairfax County Running,1.81,147,00:13:07,178,198,3.0,178,193,0 days 00:07:15,0 days 00:06:25,58,90,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:07,0:00,0.0,0:00,No,05:43.85,2,0.0,6,garmin,0
2020-07-05 14:22:06,Running,2020-07-05 14:22:06,False,Fairfax County Running,1.29,93,00:09:30.1,162,198,2.5,178,189,0 days 00:07:21,0 days 00:06:22,42,36,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,9:30.1,0:00,0.0,0:00,No,02:06.32,2,0.0,6,garmin,0
2020-07-03 15:05:27,Running,2020-07-03 15:05:27,False,Fairfax County Running,0.84,94,00:09:25.2,164,184,2.3,157,247,0 days 00:11:15,0 days 00:04:08,7,6,0.91,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,9:25.2,0:00,0.0,0:00,No,09:25.21,1,0.0,6,garmin,0
2020-07-02 14:19:47,Running,2020-07-02 14:19:47,False,Fairfax County Running,1.23,97,00:08:54.5,177,194,2.6,176,187,0 days 00:07:15,0 days 00:06:53,40,41,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,8:54.5,0:00,0.0,0:00,No,01:33.19,2,0.0,6,garmin,0
2020-06-29 14:23:32,Running,2020-06-29 14:23:32,False,Fairfax County Running,1.80,154,00:13:15,183,202,3.2,176,189,0 days 00:07:21,0 days 00:06:36,70,79,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:15,0:00,0.0,0:00,No,05:44.95,2,0.0,6,garmin,0
2020-06-27 14:50:02,Running,2020-06-27 14:50:02,False,Fairfax County Running,0.62,76,00:08:33.3,148,182,2.0,150,250,0 days 00:13:53,0 days 00:03:51,0,6,0.77,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,8:33.3,0:00,0.0,0:00,No,08:33.25,1,0.0,6,garmin,0
2020-06-24 14:28:45,Running,2020-06-24 14:28:45,False,Fairfax County Running,1.82,135,00:13:15,163,197,2.7,177,187,0 days 00:07:17,0 days 00:06:23,64,94,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:15,0:00,0.0,0:00,No,05:50.21,2,0.0,6,garmin,0
2020-06-22 14:44:20,Running,2020-06-22 14:44:20,False,Fairfax County Running,0.98,81,00:07:47.4,167,189,2.2,175,185,0 days 00:07:58,0 days 00:07:06,37,12,1.16,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,7:47.4,0:00,0.0,0:00,No,07:47.45,1,0.0,6,garmin,0
2020-06-17 13:11:38,Running,2020-06-17 13:11:38,False,Fairfax County Running,1.80,142,00:13:21,169,198,2.9,179,189,0 days 00:07:24,0 days 00:06:38,48,70,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:21,0:00,0.0,0:00,No,05:46.68,2,0.0,6,garmin,0
2020-06-15 14:39:42,Running,2020-06-15 14:39:42,False,Fairfax County Running,1.82,104,00:13:20,140,161,2.0,179,189,0 days 00:07:21,0 days 00:06:36,45,74,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:20,0:00,0.0,0:00,No,05:47.29,2,0.0,6,garmin,0
2020-06-14 14:33:03,Running,2020-06-14 14:33:03,False,Fairfax County Running,1.81,140,00:13:07,175,196,3.1,179,188,0 days 00:07:16,0 days 00:06:34,70,104,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:07,0:00,0.0,0:00,No,05:42.18,2,0.0,6,garmin,0
2020-06-12 15:56:01,Running,2020-06-12 15:56:01,False,Fairfax County Running,0.88,71,00:07:17.2,164,187,2.1,172,220,0 days 00:08:18,0 days 00:04:27,21,20,1.13,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,7:17.2,0:00,0.0,0:00,No,07:17.20,1,0.0,6,garmin,0
2020-06-09 14:29:51,Running,2020-06-09 14:29:51,False,Fairfax County Running,1.80,112,00:13:30,165,195,2.8,174,185,0 days 00:07:30,0 days 00:06:47,54,81,1.2,9.8,11.9,187,49.9% L / 50.1% R,0.0,0.0,0.0,0,0,0,13:30,0:00,0.0,0:00,No,05:45.44,2,0.0,6,garmin,0
2020-06-06 14:47:37,Running,2020-06-06 14:47:37,False,Fairfax County Running,0.55,28,00:04:00.4,160,199,2.7,176,185,0 days 00:07:14,0 days 00:06:29,16,14,1.2,9.5,11.0,189,49.6% L / 50.4% R,0.0,0.0,0.0,0,0,0,4:00.4,0:00,0.0,0:00,No,04:00.37,1,0.0,6,garmin,0
2020-06-04 13:57:45,Running,2020-06-04 13:57:45,False,Fairfax County Running,1.72,89,00:12:46,157,200,2.3,178,201,0 days 00:07:25,0 days 00:06:15,43,64,1.18,9.4,11.2,186,50.1% L / 49.9% R,0.0,0.0,0.0,0,0,0,12:46,0:00,0.0,0:00,No,05:13.46,2,0.0,6,garmin,0
2020-06-02 15:08:13,Running,2020-06-02 15:08:13,False,Fairfax County Running,1.74,136,00:13:01,172,200,3.0,176,187,0 days 00:07:30,0 days 00:06:42,92,85,1.22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:01,0:00,0.0,0:00,No,05:19.39,2,0.0,6,garmin,0
2020-05-30 14:56:28,Running,2020-05-30 14:56:28,False,Fairfax County Running,1.75,136,00:12:48,174,199,3.0,177,193,0 days 00:07:18,0 days 00:06:42,60,95,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,12:48,0:00,0.0,0:00,No,05:18.74,2,0.0,6,garmin,0
2020-05-27 14:06:11,Running,2020-05-27 14:06:11,False,Fairfax County Running,1.51,102,00:11:04,153,173,2.3,178,189,0 days 00:07:20,0 days 00:06:37,567,604,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,11:04,0:00,0.0,0:00,No,03:35.72,2,0.0,6,garmin,0
2020-05-26 13:36:44,Running,2020-05-26 13:36:44,False,Fairfax County Running,1.78,132,00:12:35,175,192,3.0,178,189,0 days 00:07:05,0 days 00:06:22,55,89,1.27,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,12:35,0:00,0.0,0:00,No,05:21.26,2,0.0,6,garmin,0
2020-05-24 16:08:50,Running,2020-05-24 16:08:50,False,Fairfax County Running,1.81,124,00:13:10,162,201,2.8,179,191,0 days 00:07:17,0 days 00:06:43,74,90,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:10,0:00,0.0,0:00,No,05:43.88,2,0.0,6,garmin,0
2020-05-23 14:21:36,Running,2020-05-23 14:21:36,False,Fairfax County Running,1.75,107,00:12:31,154,198,2.5,180,190,0 days 00:07:09,0 days 00:06:17,67,104,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,12:31,0:00,0.0,0:00,No,05:07.96,2,0.0,6,garmin,0
2020-05-21 15:29:28,Running,2020-05-21 15:29:28,False,Fairfax County Running,1.76,69,00:12:41,145,166,2.1,179,188,0 days 00:07:12,0 days 00:06:42,31,53,1.23,8.8,11.2,171,49.5% L / 50.5% R,0.0,0.0,0.0,0,0,0,12:41,0:00,0.0,0:00,No,05:21.00,2,0.0,6,garmin,0
2020-05-20 13:51:53,Running,2020-05-20 13:51:53,False,Fairfax County Running,1.76,63,00:12:36,141,166,1.9,179,188,0 days 00:07:10,0 days 00:05:43,61,66,1.22,9.0,10.9,176,50.0% L / 50.0% R,0.0,0.0,0.0,0,0,0,12:36,0:00,0.0,0:00,No,05:05.74,2,0.0,6,garmin,0
