date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,training_stress_scoreâ,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-08-18,Running,False,Fairfax County Running,2.50,203,00:19:13,179,199,3.6,174,185,0 days 00:07:41,0 days 00:06:54,109,124,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,19:13,0:00,0.0,0:00,No,03:59.57,3,0.0,6,garmin,0
2020-08-22,Running,False,Fairfax County Running,2.46,179,00:18:30,167,196,3.2,175,187,0 days 00:07:30,0 days 00:06:36,51,85,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,18:30,0:00,0.0,0:00,No,03:36.47,3,0.0,6,garmin,0
2020-08-25,Running,False,Fairfax County Running,2.32,156,00:17:09,159,196,2.9,175,190,0 days 00:07:23,0 days 00:06:44,86,96,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,17:09,0:00,0.0,0:00,No,02:24.51,3,0.0,6,garmin,0
2020-08-29,Running,False,Fairfax County Running,2.01,154,00:14:40,176,202,3.2,178,191,0 days 00:07:18,0 days 00:06:42,70,107,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:40,0:00,0.0,0:00,No,00:03.71,3,0.0,6,garmin,0
2020-09-01,Running,False,Fairfax County Running,2.01,158,00:15:07,177,202,3.1,173,183,0 days 00:07:32,0 days 00:06:31,40,110,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:07,0:00,0.0,0:00,No,00:02.95,3,0.0,6,garmin,0
2020-09-05,Running,False,Fairfax County Running,2.05,152,00:15:02,170,190,3.0,174,190,0 days 00:07:21,0 days 00:06:51,42,64,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:02,0:00,0.0,0:00,No,00:18.82,3,0.0,6,garmin,0
2020-09-08,Running,False,Fairfax County Running,2.03,150,00:14:33,171,197,3.1,175,191,0 days 00:07:11,0 days 00:06:26,45,65,1.28,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:33,0:00,0.0,0:00,No,00:11.63,3,0.0,6,garmin,0
2020-09-12,Running,False,Fairfax County Running,1.82,136,00:13:16,165,193,2.7,174,187,0 days 00:07:16,0 days 00:06:30,40,59,1.27,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:16,0:00,0.0,0:00,No,05:50.96,2,0.0,6,garmin,0
2020-09-15,Running,False,Fairfax County Running,2.07,147,00:15:19,156,189,2.6,173,185,0 days 00:07:24,0 days 00:06:52,67,90,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:19,0:00,0.0,0:00,No,00:31.41,3,0.0,6,garmin,0
2020-09-16,Running,False,Fairfax County Running,1.83,131,00:13:56,151,174,2.3,172,179,0 days 00:07:37,0 days 00:06:56,72,86,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:56,0:00,0.0,0:00,No,06:08.50,2,0.0,6,garmin,0
2020-09-20,Running,False,Fairfax County Running,2.02,139,00:15:09,148,174,2.4,174,185,0 days 00:07:31,0 days 00:06:40,31,72,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:09,0:00,0.0,0:00,No,00:07.21,3,0.0,6,garmin,0
2020-09-22,Running,False,Fairfax County Running,2.06,110,00:15:33,130,155,1.5,177,187,0 days 00:07:32,0 days 00:07:00,45,20,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:33,0:00,0.0,0:00,No,00:28.01,3,0.0,6,garmin,0
2020-09-27,Running,False,Fairfax County Running,2.03,174,00:15:00,178,198,3.2,175,185,0 days 00:07:23,0 days 00:06:42,60,82,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:00,0:00,0.0,0:00,No,00:16.52,3,0.0,6,garmin,0
2020-10-01,Running,False,Fairfax County Running,2.02,172,00:14:49,180,198,3.2,173,185,0 days 00:07:19,0 days 00:06:45,60,87,1.27,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:49,0:00,0.0,0:00,No,00:10.69,3,0.0,6,garmin,0
2020-10-03,Running,False,Fairfax County Running,2.10,169,00:15:08,176,201,3.2,173,191,0 days 00:07:12,0 days 00:06:32,58,65,1.29,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:08,0:00,0.0,0:00,No,00:41.39,3,0.0,6,garmin,0
2020-10-04,Running,False,Fairfax County Running,2.10,160,00:15:52,166,199,3.0,173,185,0 days 00:07:33,0 days 00:06:18,47,49,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:52,0:00,0.0,0:00,No,00:42.08,3,0.0,6,garmin,0
