date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2020-04-09,Running,False,Denver - Run Workout,3.11,378,00:33:24,143,157,2.9,139,256,0 days 00:10:43,0 days 00:09:20,10,16,1.06,12.2,13.1,322,49.8% L / 50.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33:24,0,0:00,68.0,0,0:00,No,0.0,0,0,0,05:00.00,4,0.0,30,16,36,0,0,0,8,garmin,0
2020-04-10,Cycling,False,Denver Cycling,35.21,"1,864",02:41:00,155,180,5.0,0,0,13.1,34.3,"2,516","2,523",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:41:00,0,0:00,75.2,0,0:00,No,0.0,0,0,0,00:54.65,8,0.0,34,13,44,0,0,0,8,garmin,0
2020-04-11,Running,False,Denver Running,3.11,407,00:33:26,147,161,3.1,141,151,0 days 00:10:45,0 days 00:09:18,33,30,1.06,11.9,12.8,325,50.7% L / 49.3% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33:26,0,0:00,82.4,0,0:00,No,0.0,0,0,0,01:18.02,4,0.0,31,19,38,0,0,0,8,garmin,0
2020-04-14,Indoor Cycling,False,Indoor Cycling,4.73,238,00:30:02,137,166,2.3,0,0,9.4,22.7,0,0,0.0,0.0,0.0,0,0,0,0,131,10.0,111,111,223,0.0,0.0,0,0,0,0,0,30:02,0,0:00,75.2,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,29,14,38,0,0,0,8,garmin,0
2020-04-15,Indoor Cycling,False,Indoor Cycling,4.36,172,00:17:34,147,169,2.5,0,0,14.9,17.8,0,0,0.0,0.0,0.0,0,0,0,0,173,14.2,0,163,254,0.0,0.0,0,0,0,0,0,17:34,0,0:00,80.6,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,34,19,40,0,0,0,8,garmin,0
2020-04-15,Running,False,Denver Running,3.12,435,00:30:06,170,187,3.9,145,194,0 days 00:09:39,0 days 00:08:14,43,43,1.15,11.4,13.4,308,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:06,0,0:00,68.0,0,0:00,No,0.0,0,0,0,01:19.56,4,0.0,38,28,45,0,0,0,8,garmin,0
2020-04-16,Indoor Cycling,False,Indoor Cycling,11.42,380,00:45:46,126,153,2.3,0,0,15.0,28.8,0,0,0.0,0.0,0.0,0,0,0,0,151,27.0,147,142,452,0.0,0.0,0,0,0,0,0,45:46,0,0:00,84.2,0,0:00,No,0.0,0,0,0,05:53.60,3,0.0,30,13,37,0,0,0,8,garmin,0
2020-04-17,Virtual Cycling,False,Zwift - Innsbruck,4.45,230,00:30:57,0,0,0.0,0,0,8.6,25.9,669,0,0.0,0.0,0.0,0,0,84,104,138,0.0,131,129,339,0.0,0.0,0,0,0,0,0,30:57,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-04-17,Running,False,Denver - Run Workout,3.41,471,00:40:13,144,161,3.1,127,154,0 days 00:11:48,0 days 00:09:22,46,36,1.08,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:13,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:13.40,6,0.0,19,19,19,0,0,0,8,garmin,0
2020-04-19,Virtual Cycling,False,Zwift - Watopia,20.67,862,01:30:49,132,181,0.0,0,0,13.7,55.2,"2,254",0,0.0,0.0,0.0,0,0,86,113,190,0.0,206,165,652,0.0,0.0,0,0,0,0,0,1:30:49,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-04-19,Running,False,Denver Running,4.88,676,00:47:20,169,178,4.7,146,194,0 days 00:09:42,0 days 00:07:54,39,49,1.14,11.1,12.9,277,49.6% L / 50.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,47:20,0,0:00,68.0,0,0:00,No,0.0,0,0,0,00:01.11,7,0.0,39,20,51,0,0,0,8,garmin,0
2020-04-21,Virtual Cycling,False,Zwift - London,20.55,660,01:17:14,139,171,0.0,0,0,16.0,48.6,951,0,0.0,0.0,0.0,0,0,86,105,170,0.0,178,149,658,0.0,0.0,0,0,0,0,0,1:17:14,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-04-22,Running,False,Denver Running,2.95,362,00:27:39,155,174,3.3,146,160,0 days 00:09:23,0 days 00:08:16,13,20,1.18,11.0,13.3,308,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:39,0,0:00,78.8,0,0:00,No,0.0,0,0,0,08:58.87,3,0.0,33,17,39,0,0,0,8,garmin,0
2020-04-24,Virtual Cycling,False,Zwift - Watopia,43.72,"1,339",02:30:52,150,187,0.0,0,0,17.4,39.3,"2,343",0,0.0,0.0,0.0,0,0,84,105,176,0.0,196,154,738,0.0,0.0,0,0,0,0,0,2:30:52,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-04-24,Running,False,Denver Running,3.12,432,00:32:48,162,172,3.4,145,155,0 days 00:10:31,0 days 00:09:25,52,49,1.06,12.0,12.9,321,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,32:48,0,0:00,68.0,0,0:00,No,0.0,0,0,0,01:31.53,4,0.0,35,14,42,0,0,0,8,garmin,0
2020-04-26,Virtual Cycling,False,Zwift - London,18.78,526,01:00:09,135,158,0.0,0,0,18.7,26.8,223,0,0.0,0.0,0.0,0,0,84,97,161,0.0,175,152,348,0.0,0.0,0,0,0,0,0,1:00:09,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-04-26,Running,False,Denver Running,3.42,438,00:36:03,152,169,3.3,143,185,0 days 00:10:32,0 days 00:08:44,167,184,1.07,11.6,12.6,322,49.9% L / 50.1% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,36:03,0,0:00,71.6,0,0:00,No,0.0,0,0,0,05:19.12,4,0.0,31,13,39,0,0,0,8,garmin,0
2020-04-29,Running,False,Denver Running,3.18,416,00:33:40,156,167,3.2,141,149,0 days 00:10:35,0 days 00:09:02,49,30,1.07,11.9,12.9,318,50.0% L / 50.0% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33:40,0,0:00,82.4,0,0:00,No,0.0,0,0,0,01:56.23,4,0.0,33,19,42,0,0,0,8,garmin,0
2020-04-30,Virtual Cycling,False,Zwift - Richmond,7.11,183,00:20:16,132,175,0.0,0,0,21.0,38.6,46,0,0.0,0.0,0.0,0,0,87,102,208,0.0,158,156,666,0.0,0.0,0,0,0,0,0,20:16,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-04-30,Virtual Cycling,False,Zwift - NYC,3.06,80,00:11:04,122,150,0.0,0,0,16.6,34.7,171,0,0.0,0.0,0.0,0,0,78,95,141,0.0,0,125,337,0.0,0.0,0,0,0,0,0,11:04,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-01,Yoga,False,Yoga,0.00,58,00:26:26,74,93,0.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,1,26:26,0,0:00,84.2,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,19,12,24,14,0,14,8,garmin,0
2020-05-01,Running,False,Denver Running,5.11,783,00:57:45,171,187,4.7,141,240,0 days 00:11:18,0 days 00:03:09,194,207,1.02,12.1,12.4,322,50.1% L / 49.9% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,57:45,0,0:00,84.2,0,0:00,No,0.0,0,0,0,01:19.40,6,0.0,36,13,45,0,0,0,8,garmin,0
2020-05-03,Virtual Cycling,False,Zwift - Watopia,20.05,747,01:34:40,133,168,0.0,0,0,12.7,46.7,"2,156",0,0.0,0.0,0.0,0,0,76,107,158,0.0,168,137,547,0.0,0.0,0,0,0,0,0,1:34:40,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-03,Running,False,Denver Running,3.10,434,00:34:30,153,169,3.4,138,213,0 days 00:11:07,0 days 00:08:52,36,36,1.07,11.9,13.0,316,50.8% L / 49.2% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34:30,0,0:00,84.2,0,0:00,No,0.0,0,0,0,01:20.95,4,0.0,33,18,43,0,0,0,8,garmin,0
2020-05-04,Yoga,False,Yoga,0.00,46,00:24:14,71,91,0.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,1,24:14,0,0:00,84.2,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,18,10,24,25,8,33,8,garmin,0
2020-05-05,Virtual Cycling,False,Zwift - NYC,14.31,480,00:53:08,135,162,0.0,0,0,16.2,42.3,"1,247",0,0.0,0.0,0.0,0,0,80,110,179,0.0,180,156,590,0.0,0.0,0,0,0,0,0,53:08,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-06,Running,False,Denver Running,3.10,382,00:29:40,158,176,3.4,146,254,0 days 00:09:33,0 days 00:07:34,20,43,1.16,11.8,13.3,308,50.4% L / 49.6% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:40,0,0:00,75.2,0,0:00,No,0.0,0,0,0,01:42.60,4,0.0,33,14,40,0,0,0,8,garmin,0
2020-05-07,Virtual Cycling,False,Zwift - Watopia,11.53,343,00:35:36,147,184,0.0,0,0,19.4,29.1,292,0,0.0,0.0,0.0,0,0,85,103,200,0.0,170,168,689,0.0,0.0,0,0,0,0,0,35:36,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-05-07,Running,False,Denver Running,3.05,409,00:30:18,165,177,3.6,146,153,0 days 00:09:56,0 days 00:08:27,112,115,1.1,11.9,13.2,305,49.6% L / 50.4% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:18,0,0:00,69.8,0,0:00,No,0.0,0,0,0,00:27.72,4,0.0,36,27,43,0,0,0,8,garmin,0
2020-05-09,Running,False,Denver Running,2.04,242,00:18:22,157,167,3.1,148,159,0 days 00:09:00,0 days 00:08:20,43,36,1.21,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,18:22,0,0:00,66.2,0,0:00,No,0.0,0,0,0,00:23.97,3,0.0,37,14,44,0,0,0,8,garmin,1
2020-05-09,Virtual Cycling,False,Zwift - 90min Riders Choice,25.11,633,01:20:20,136,151,0.0,0,0,18.7,31.0,335,0,0.0,0.0,0.0,0,0,82,95,141,0.0,151,138,304,0.0,0.0,0,0,0,0,0,1:20:20,0,0:00,0.0,0,0:00,No,0.0,0,0,0,00:00.00,1,0.0,0,0,0,0,0,0,8,garmin,1
