date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2019-08-01,Running,False,Longview Running,3.0,339,0:35:36,163,185,161,182,11:51,9:57,82,66,0.84,0,0,0,0,0,0,0,0,0,0,1:11:36,0:00,0,0:00,No,00:02.50,4,0,10,garmin,0,0 days 00:11:51,0 days 00:11:51
2019-08-03,Running,False,Montgomery County Running,3.0,350,0:40:02,155,177,143,230,13:20,9:22,315,348,0.85,0,0,0,0,0,0,0,0,0,0,1:16:02,0:00,0,0:00,No,00:01.64,4,0,10,garmin,0,0 days 00:13:20,0 days 00:13:20
2019-08-04,Treadmill Running,False,Treadmill Running,4.34,510,0:50:01,161,182,164,180,11:32,9:24,0,0,0.76,0,0,0,0,0,0,0,0,0,0,2:2:01:00.000,0:00,0,0:00,No,03:22.34,5,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32
2019-08-05,Running,False,Longview Running,3.0,328,0:37:08,162,180,161,180,12:22,11:11,72,75,0.81,0,0,0,0,0,0,0,0,0,0,1:13:08,0:00,0,0:00,No,00:01.72,4,0,10,garmin,0,0 days 00:12:22,0 days 00:12:22
2019-08-06,Treadmill Running,False,Treadmill Running,3.08,364,0:36:13,160,173,164,178,11:45,6:37,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1:12:13,0:00,0,0:00,No,02:29.93,4,0,10,garmin,0,0 days 00:11:45,0 days 00:11:45
2019-08-08,Running,False,Longview Running,3.02,327,0:37:31,154,179,162,172,12:25,9:29,82,75,0.8,0,0,0,0,0,0,0,0,0,0,1:13:31,0:00,0,0:00,No,00:14.66,4,0,10,garmin,0,0 days 00:12:25,0 days 00:12:25
2019-08-09,Treadmill Running,False,Treadmill Running,3.0,321,0:33:55,151,173,165,186,11:18,6:28,0,0,0.88,0,0,0,0,0,0,0,0,0,0,1:9:55,0:00,0,0:00,No,00:35.85,4,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18
2019-08-11,Treadmill Running,False,Treadmill Running,7.0,788,1:20:40,159,182,164,186,11:31,7:58,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1:20:40,0:00,0,0:00,No,01:45.06,8,0,10,garmin,0,0 days 00:11:31,0 days 00:11:31
2019-08-12,Treadmill Running,False,Treadmill Running,3.0,303,0:34:31,143,168,164,186,11:30,7:12,0,0,0.86,0,0,0,0,0,0,0,0,0,0,1:10:31:00.000,0:00,0,0:00,No,00:17.45,4,0,10,garmin,0,0 days 00:11:30,0 days 00:11:30
2019-08-14,Treadmill Running,False,Treadmill Running,2.6,291,0:30:06,154,171,162,176,11:35,6:58,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1:6:06,0:00,0,0:00,No,07:02.81,3,0,10,garmin,0,0 days 00:11:35,0 days 00:11:35
2019-08-16,Treadmill Running,False,Treadmill Running,3.0,299,0:31:11,152,172,167,184,10:24,7:32,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1:7:11,0:00,0,0:00,No,00:00.100,4,0,10,garmin,0,0 days 00:10:24,0 days 00:10:24
2019-08-17,Yoga,False,Yoga,0.0,101,0:50:23,77,112,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2:2:23,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,00:00:00,00:00:00
2019-08-17,Treadmill Running,False,Treadmill Running,3.0,315,0:34:59,146,163,162,169,11:40,6:53,0,0,0.94,0,0,0,0,0,0,0,0,0,0,1:10:59,0:00,0,0:00,No,03:15.77,4,0,10,garmin,0,0 days 00:11:40,0 days 00:11:40
2019-08-18,Running,False,Longview Running,7.01,737,1:50:39,135,176,123,216,15:47,10:56,"1,716","1,716",0.84,0,0,0,0,0,0,0,0,0,0,1:50:39,0:00,0,0:00,No,00:08.96,8,0,10,garmin,0,0 days 00:15:47,0 days 00:15:47
2019-08-20,Treadmill Running,False,Treadmill Running,3.0,323,0:32:20,160,174,167,184,10:47,7:32,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1:8:20:00.000,0:00,0,0:00,No,02:46.80,4,0,10,garmin,0,0 days 00:10:47,0 days 00:10:47
2019-08-22,Treadmill Running,False,Treadmill Running,3.5,383,0:39:10,158,178,164,172,11:11,7:01,0,0,0.89,0,0,0,0,0,0,0,0,0,0,1:15:10,0:00,0,0:00,No,05:53.17,4,0,10,garmin,0,0 days 00:11:11,0 days 00:11:11
2019-08-23,Treadmill Running,False,Treadmill Running,10.0,"1,099",1:58:06,157,188,162,178,11:49,7:01,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1:58:06,0:00,0,0:00,No,00:26.10,11,0,10,garmin,0,0 days 00:11:49,0 days 00:11:49
2019-08-25,Treadmill Running,False,Treadmill Running,3.0,328,0:34:54,151,167,164,173,11:38,7:19,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1:10:54,0:00,0,0:00,No,01:05.42,4,0,10,garmin,0,0 days 00:11:38,0 days 00:11:38
2019-08-27,Running,False,Longview Running,3.0,333,0:33:13,163,180,164,180,11:04,9:51,89,69,0.89,0,0,0,0,0,0,0,0,0,0,1:9:13,0:00,0,0:00,No,00:02.17,4,0,10,garmin,0,0 days 00:11:04,0 days 00:11:04
2019-08-28,Treadmill Running,False,Treadmill Running,3.01,329,0:34:43,155,177,161,176,11:32,6:59,0,0,0.97,0,0,0,0,0,0,0,0,0,0,1:10:43,0:00,0,0:00,No,03:37.22,4,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32
2019-08-29,Treadmill Running,False,Treadmill Running,2.0,211,0:21:40,158,180,165,184,10:50,7:01,0,0,0.87,0,0,0,0,0,0,0,0,0,0,21:40,0:00,0,0:00,No,00:01.08,3,0,10,garmin,0,0 days 00:10:50,0 days 00:10:50
2019-09-01,Running,False,Yamhill County Running,13.14,"1,507",2:37:08,166,214,157,248,11:57,10:03,"4,429","4,514",0.86,0,0,0,0,0,0,0,0,0,0,2:37:08,0:00,0,0:00,No,01:37.70,14,0,10,garmin,1,0 days 00:11:57,0 days 00:11:57
