,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
13,35,2019-01-28,Running,False,Longview Running,1.0,85,0:09:54,131,144,169,182,9:54,7:58,33,36,0.96,0,0,0,0,0,0,0,0,0,0,9:54.5,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:09:54,0 days 00:09:54,33.0,0.7485714285714286,8.888888888888888,6.0606060606060606,8.889062498304613,11.874701810712269
14,36,2019-01-29,Running,False,Longview Running,3.01,312,0:29:12,164,181,171,186,9:43,8:29,102,105,0.97,0,0,0,0,0,0,0,0,0,0,1:5:12:00.000,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:09:43,0 days 00:09:43,33.887043189368775,0.9371428571428572,9.056603773584905,6.174957118353345,9.056790295732497,9.664257937519434
15,37,2019-02-01,Running,False,Longview Running,10.01,"1,097",1:53:04,160,183,166,174,11:18,9:45,387,384,0.86,0,0,0,0,0,0,0,0,0,0,1:53:04,0:00,0,0:00,No,10:50.09,11,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18,38.66133866133866,0.9142857142857143,7.787610619469025,5.309734513274336,7.787819382859717,8.517927450002816
16,38,2019-02-03,Running,False,Longview Running,5.0,544,0:52:03,163,188,168,180,10:24,9:18,112,115,0.92,0,0,0,0,0,0,0,0,0,0,2:4:03:00.000,0:00,0,0:00,No,10:15.04,5,0,10,garmin,0,0 days 00:10:24,0 days 00:10:24,22.4,0.9314285714285714,8.461538461538462,5.769230769230769,8.461614607271988,9.08455555995459
17,39,2019-02-05,Running,False,Longview Running,5.0,545,0:57:23,155,177,163,180,11:28,9:01,207,531,0.86,0,0,0,0,0,0,0,0,0,0,2:9:23,0:00,0,0:00,No,10:49.71,6,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28,41.4,0.8857142857142857,7.674418604651161,5.232558139534883,7.674654512098266,8.664932513659334
18,40,2019-02-06,Running,False,Longview Running,3.0,324,0:34:09,150,170,163,175,11:22,9:53,85,92,0.87,0,0,0,0,0,0,0,0,0,0,1:10:09,0:00,0,0:00,No,11:13.91,4,0,10,garmin,0,0 days 00:11:22,0 days 00:11:22,28.333333333333332,0.8571428571428571,7.741935483870967,5.278592375366569,7.742046950257531,9.032388108633786
19,41,2019-02-09,Running,False,Kilgore Running,10.99,"1,216",1:52:36,167,187,170,186,10:15,8:44,282,220,0.92,0,0,0,0,0,0,0,0,0,0,1:52:36,0:00,0,0:00,No,09:48.43,11,0,10,garmin,0,0 days 00:10:15,0 days 00:10:15,25.659690627843492,0.9542857142857143,8.585365853658535,5.853658536585366,8.585467235747043,8.99674710332774
20,42,2019-02-13,Running,False,Longview Running,3.0,323,0:31:44,154,169,168,177,10:35,9:20,102,79,0.91,0,0,0,0,0,0,0,0,0,0,1:7:44,0:00,0,0:00,No,10:23.94,3,0,10,garmin,0,0 days 00:10:35,0 days 00:10:35,34.0,0.88,8.31496062992126,5.669291338582677,8.315133021357765,9.44901479699746
21,43,2019-02-14,Running,False,Longview Running,3.0,320,0:34:57,148,165,163,172,11:39,10:01,89,75,0.85,0,0,0,0,0,0,0,0,0,0,1:10:57,0:00,0,0:00,No,11:20.21,4,0,10,garmin,0,0 days 00:11:39,0 days 00:11:39,29.666666666666668,0.8457142857142858,7.553648068669528,5.150214592274678,7.553767300711653,8.931819443409049
22,44,2019-02-16,Running,False,Longview Running,5.0,569,0:57:10,161,183,164,176,11:26,9:49,269,213,0.86,0,0,0,0,0,0,0,0,0,0,2:9:10:00.000,0:00,0,0:00,No,11:07.20,5,0,10,garmin,0,0 days 00:11:26,0 days 00:11:26,53.8,0.92,7.6967930029154505,5.247813411078717,7.697192547497016,8.366513638583713
23,46,2019-02-17,Running,False,Longview Running,3.1,336,0:36:29,146,164,163,174,11:46,10:12,236,259,0.84,0,0,0,0,0,0,0,0,0,0,1:12:29,0:00,0,0:00,No,11:43.37,4,0,10,garmin,0,0 days 00:11:46,0 days 00:11:46,76.12903225806451,0.8342857142857143,7.478753541076486,5.099150141643059,7.479530878236741,8.965191121174175
24,47,2019-02-21,Running,False,Longview Running,12.0,"1,368",2:18:40,167,180,163,248,11:33,9:29,1014,"1,089",0.85,0,0,0,0,0,0,0,0,0,0,2:18:40,0:00,0,0:00,No,10:29.44,13,0,10,garmin,0,0 days 00:11:33,0 days 00:11:33,84.5,0.9542857142857143,7.619047619047619,5.194805194805195,7.620023256491613,7.985054310694804
25,49,2019-03-03,Running,False,Little Rock - Running,13.25,"1,390",2:25:31,164,186,163,181,10:59,9:06,1722,"1,549",0.9,0,0,0,0,0,0,0,0,0,0,2:25:31,0:00,0,0:00,No,02:27.65,14,0,10,garmin,1,0 days 00:10:59,0 days 00:10:59,129.96226415094338,0.9371428571428572,8.012139605462822,5.462822458270106,8.014566324182383,8.552128699584859
