,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
10,25,2018-10-14,Running,False,Longview Running,2.0,191,0:21:22,149,164,166,178,10:42,8:46,302,240,0.91,0,0,0,0,0,0,0,0,0,0,21:22,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:10:42,0 days 00:10:42,151.0,0.8514285714285714,8.224299065420562,5.607476635514019,8.227661595485085,9.663360934294563
11,29,2018-10-16,Running,False,Longview Running,1.0,98,0:12:13,126,148,162,176,12:15,10:23,108,0,0.81,0,0,0,0,0,0,0,0,0,0,12:13,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:12:15,0 days 00:12:15,108.0,0.72,7.183673469387755,4.8979591836734695,7.185176095165235,9.97941124328505
12,31,2018-10-17,Running,False,Longview Running,1.5,148,0:16:57,138,159,166,178,11:16,8:51,89,105,0.86,0,0,0,0,0,0,0,0,0,0,16:57,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:16,0 days 00:11:16,59.333333333333336,0.7885714285714286,7.8106508875739635,5.325443786982248,7.8111440309127165,9.905436271084966
13,33,2018-10-21,Running,False,Longview Running,3.0,327,0:33:47,157,179,165,172,11:15,9:43,95,223,0.87,0,0,0,0,0,0,0,0,0,0,1:9:47,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:11:15,0 days 00:11:15,31.666666666666668,0.8971428571428571,7.822222222222221,5.333333333333333,7.822362902463597,8.719194318032672
14,35,2018-10-23,Running,False,Longview Running,3.01,313,0:31:36,157,178,166,182,10:31,8:56,105,217,0.92,0,0,0,0,0,0,0,0,0,0,1:7:36,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:10:31,0 days 00:10:31,34.88372093023256,0.8971428571428571,8.36767036450079,5.7052297939778125,8.367852984186248,9.32722466390187
15,36,2018-10-25,Running,False,Longview Running,1.14,121,0:15:03,130,143,161,167,13:12,11:19,49,7,0.76,0,0,0,0,0,0,0,0,0,0,15:03,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:13:12,0 days 00:13:12,42.982456140350884,0.7428571428571429,6.666666666666667,4.545454545454546,6.666887561807555,8.974656333202478
16,38,2018-10-27,Running,False,Cedar Park Running,13.09,"1,512",2:27:00,171,193,159,248,11:14,9:43,594,896,0.9,0,0,0,0,0,0,0,0,0,0,2:27:00,0:00,0,0:00,No,00:00.00,14,0,10,garmin,1,0 days 00:11:14,0 days 00:11:14,45.378151260504204,0.9771428571428571,7.833827893175075,5.3412462908011875,7.834117202054262,8.017371405611087
17,39,2018-10-29,Running,False,Longview Running,1.0,119,0:13:05,144,160,148,175,13:04,10:18,56,36,0.83,0,0,0,0,0,0,0,0,0,0,13:05,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:13:04,0 days 00:13:04,56.0,0.8228571428571428,6.73469387755102,4.591836734693878,6.735072654778086,8.18498412907059
18,40,2018-11-03,Running,False,Longview Running,2.0,208,0:21:42,156,175,162,170,10:50,9:20,184,164,0.91,0,0,0,0,0,0,0,0,0,0,21:42,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:10:50,0 days 00:10:50,92.0,0.8914285714285715,8.123076923076923,5.538461538461538,8.124309929730618,9.113809216043963
19,41,2018-11-03,Running,False,Longview Running,1.0,108,0:11:51,142,154,152,180,11:50,9:49,20,52,0.89,0,0,0,0,0,0,0,0,0,0,11:51,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:50,0 days 00:11:50,20.0,0.8114285714285714,7.436619718309858,5.070422535211267,7.436673068523954,9.16491399289924
20,42,2018-11-04,Running,False,Longview Running,2.0,203,0:21:49,148,169,165,174,10:55,9:57,92,118,0.89,0,0,0,0,0,0,0,0,0,0,21:49,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:10:55,0 days 00:10:55,46.0,0.8457142857142858,8.061068702290076,5.4961832061068705,8.061374618298904,9.532030798664245
21,43,2018-11-04,Running,False,Longview Running,1.0,107,0:11:35,154,173,162,169,11:32,10:39,128,30,0.86,0,0,0,0,0,0,0,0,0,0,11:35,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32,128.0,0.88,7.630057803468208,5.202312138728324,7.632299548069362,8.67306766826064
22,44,2018-11-05,Running,False,Longview Running,6.0,643,1:08:33,158,182,163,176,11:26,9:45,177,331,0.86,0,0,0,0,0,0,0,0,0,0,1:08:33,0:00,0,0:00,No,00:00.00,6,0,10,garmin,0,0 days 00:11:26,0 days 00:11:26,29.5,0.9028571428571428,7.6967930029154505,5.247813411078717,7.696913133228516,8.525062014651837
23,46,2018-11-17,Running,False,Longview Running,2.0,222,0:23:24,153,172,158,174,11:41,10:25,56,69,0.87,0,0,0,0,0,0,0,0,0,0,23:24,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:11:41,0 days 00:11:41,28.0,0.8742857142857143,7.5320970042796,5.1355206847360915,7.532202912842063,8.615264769590594
24,47,2018-11-18,Running,False,Longview Running,4.11,441,0:47:10,159,177,160,172,11:28,9:53,125,243,0.88,0,0,0,0,0,0,0,0,0,0,1:23:10,0:00,0,0:00,No,00:00.00,5,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28,30.41362530413625,0.9085714285714286,7.674418604651161,5.232558139534883,7.674545919900075,8.446827270330271
25,49,2018-11-22,Running,False,Atlanta Running,13.43,"1,452",2:39:13,164,185,149,245,11:51,7:59,643,955,0.92,0,0,0,0,0,0,0,0,0,0,2:39:13,0:00,0,0:00,No,00:00.00,14,0,10,garmin,1,0 days 00:11:51,0 days 00:11:51,47.87788533134773,0.9371428571428572,7.4261603375527425,5.063291139240507,7.426465638023831,7.924582235696161
26,51,2018-11-27,Running,False,Longview Running,2.0,226,0:24:24,150,171,156,180,12:11,7:53,89,102,0.85,0,0,0,0,0,0,0,0,0,0,1:0:24,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:12:11,0 days 00:12:11,44.5,0.8571428571428571,7.22298221614227,4.924760601915184,7.223238741921107,8.427111865574625
