date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2019-12-15,Running,False,Galveston Running,13.09,"1,500",2:43:51,164,187,144,248,12:31,9:41,"3,907","4,081",0.89,0,0,0,0,0,0,0,0,0,0,2:43:51,0:00,0,0:00,No,01:02.91,14,0,10,garmin,1,0 days 00:12:31,0 days 00:12:31
2019-12-17,Running,False,Longview Running,4.01,429,0:44:34,154,175,168,178,11:07,7:45,194,377,0.86,0,0,0,0,0,0,0,0,0,0,1:20:34,0:00,0,0:00,No,00:04.15,5,0,10,garmin,0,0 days 00:11:07,0 days 00:11:07
2019-12-20,Indoor Running,False,Indoor Running,3.56,378,0:40:01,149,165,163,169,11:15,10:53,0,0,0.88,0,0,0,0,0,0,0,0,0,0,1:16:01,0:00,0,0:00,No,06:15.91,4,0,10,garmin,0,0 days 00:11:15,0 days 00:11:15
2019-12-26,Running,False,Longview Running,3.0,320,0:31:24,161,188,166,178,10:27,9:04,105,240,0.93,0,0,0,0,0,0,0,0,0,0,1:7:24,0:00,0,0:00,No,00:01.87,4,0,10,garmin,0,0 days 00:10:27,0 days 00:10:27
2019-12-29,Running,False,Longview Running,2.01,228,0:23:12,159,179,161,182,11:34,9:31,361,226,0.86,0,0,0,0,0,0,0,0,0,0,23:12,0:00,0,0:00,No,00:02.81,3,0,10,garmin,0,0 days 00:11:34,0 days 00:11:34
2019-12-29,Running,False,Longview Running,4.0,437,0:41:45,164,181,170,182,10:26,9:24,253,440,0.91,0,0,0,0,0,0,0,0,0,0,1:17:45,0:00,0,0:00,No,00:01.99,5,0,10,garmin,0,0 days 00:10:26,0 days 00:10:26
2019-12-30,Running,False,Longview Running,6.0,683,1:04:58,167,182,169,184,10:49,9:47,272,591,0.88,0,0,0,0,0,0,0,0,0,0,1:04:58,0:00,0,0:00,No,00:02.89,7,0,10,garmin,0,0 days 00:10:49,0 days 00:10:49
2020-01-01,Running,False,Longview Running,5.01,540,0:53:06,160,176,169,192,10:36,9:01,203,164,0.9,0,0,0,0,0,0,0,0,0,0,2:5:06,0:00,0,0:00,No,00:04.72,6,0,10,garmin,0,0 days 00:10:36,0 days 00:10:36
2020-01-04,Running,False,Longview Running,9.0,"1,026",1:43:05,167,186,152,242,11:27,8:49,581,531,0.91,0,0,0,0,0,0,0,0,0,0,1:43:05,0:00,0,0:00,No,00:01.97,10,0,10,garmin,0,0 days 00:11:27,0 days 00:11:27
2020-01-07,Running,False,Longview Running,6.0,655,1:05:06,161,189,167,186,10:51,8:54,384,568,0.89,0,0,0,0,0,0,0,0,0,0,1:05:06,0:00,0,0:00,No,00:02.26,7,0,10,garmin,0,0 days 00:10:51,0 days 00:10:51
2020-01-09,Treadmill Running,False,Treadmill Running,1.82,212,0:20:36,158,167,164,168,11:19,11:30,0,0,0.82,0,0,0,0,0,0,0,0,0,0,20:36,0:00,0,0:00,No,09:13.12,2,0,10,garmin,0,0 days 00:11:19,0 days 00:11:19
2020-01-12,Treadmill Running,False,Treadmill Running,6.0,726,1:09:40,163,181,162,172,11:37,20:15,0,0,0.42,0,0,0,0,0,0,0,0,0,0,1:09:40,0:00,0,0:00,No,00:01.30,7,0,10,garmin,0,0 days 00:11:37,0 days 00:11:37
2020-01-14,Running,False,Longview Running,4.0,431,0:43:20,157,184,165,178,10:49,9:25,315,492,0.9,0,0,0,0,0,0,0,0,0,0,1:19:20,0:00,0,0:00,No,00:01.84,5,0,10,garmin,0,0 days 00:10:49,0 days 00:10:49
2020-01-17,Treadmill Running,False,Treadmill Running,6.0,720,1:06:16,166,181,164,174,11:03,9:15,0,0,0.98,0,0,0,0,0,0,0,0,0,0,1:06:16,0:00,0,0:00,No,00:01.17,7,0,10,garmin,0,0 days 00:11:03,0 days 00:11:03
2020-01-19,Treadmill Running,False,Treadmill Running,3.0,335,0:31:23,164,183,167,174,10:28,10:05,0,0,0.89,0,0,0,0,0,0,0,0,0,0,1:7:23:00.000,0:00,0,0:00,No,00:00.90,4,0,10,garmin,0,0 days 00:10:28,0 days 00:10:28
2020-01-20,Running,False,Longview Running,6.01,639,1:07:33,150,168,165,184,11:15,9:22,279,295,0.87,0,0,0,0,0,0,0,0,0,0,1:07:33,0:00,0,0:00,No,00:03.26,7,0,10,garmin,0,0 days 00:11:15,0 days 00:11:15
2020-01-23,Running,False,Longview Running,6.01,657,1:04:40,158,176,167,188,10:46,8:49,285,410,0.89,0,0,0,0,0,0,0,0,0,0,1:04:40,0:00,0,0:00,No,00:03.87,7,0,10,garmin,0,0 days 00:10:46,0 days 00:10:46
2020-01-25,Running,False,Longview Running,10.0,"1,103",1:52:13,160,179,168,176,11:13,9:41,528,774,0.85,0,0,0,0,0,0,0,0,0,0,1:52:13,0:00,0,0:00,No,00:01.74,11,0,10,garmin,0,0 days 00:11:13,0 days 00:11:13
2020-01-27,Running,False,Longview Running,5.0,527,0:52:25,155,171,167,180,10:28,9:09,194,354,0.92,0,0,0,0,0,0,0,0,0,0,2:4:25,0:00,0,0:00,No,00:03.41,6,0,10,garmin,0,0 days 00:10:28,0 days 00:10:28
2020-01-27,Running,False,Longview Running,1.01,124,0:12:48,152,166,139,178,12:41,8:06,371,151,0.91,0,0,0,0,0,0,0,0,0,0,12:48,0:00,0,0:00,No,00:05.21,2,0,10,garmin,0,0 days 00:12:41,0 days 00:12:41
2020-01-31,Running,False,Longview Running,5.65,612,1:00:01,155,174,168,178,10:38,9:35,381,571,0.9,0,0,0,0,0,0,0,0,0,0,1:00:01,0:00,0,0:00,No,06:56.67,6,0,10,garmin,0,0 days 00:10:38,0 days 00:10:38
2020-02-01,Running,False,Longview Running,10.0,"1,167",1:57:45,165,182,153,237,11:46,4:26,"1,214","1,148",0.89,0,0,0,0,0,0,0,0,0,0,1:57:45,0:00,0,0:00,No,00:02.64,11,0,10,garmin,0,0 days 00:11:46,0 days 00:11:46
2020-02-05,Treadmill Running,False,Treadmill Running,4.0,480,0:42:20,169,184,165,172,10:35,9:59,0,0,0.86,0,0,0,0,0,0,0,0,0,0,1:18:20,0:00,0,0:00,No,00:01.19,5,0,10,garmin,0,0 days 00:10:35,0 days 00:10:35
2020-02-06,Running,False,Longview Running,2.0,222,0:21:13,157,175,168,176,10:35,9:39,66,79,0.9,0,0,0,0,0,0,0,0,0,0,21:13,0:00,0,0:00,No,00:02.72,3,0,10,garmin,0,0 days 00:10:35,0 days 00:10:35
2020-02-09,Running,False,New Orleans Running,13.21,"1,595",2:41:45,165,192,146,248,12:15,8:11,"1,631","2,326",0.9,0,0,0,0,0,0,0,0,0,0,2:41:45,0:00,0,0:00,No,02:11.46,14,0,10,garmin,1,0 days 00:12:15,0 days 00:12:15
